Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Joy,180999,52,67,0.78,21,27,0.78,46,97,0.47,43,138,0.31,119,257,0.46
Meadows,185231,46,66,0.70,7,17,0.41,37,101,0.37,44,111,0.40,139,284,0.49
Stokes,193298,2,3,0.67,42,99,0.42,8,23,0.35,5,12,0.42,9,15,0.60
Kemp,180817,5,7,0.71,98,196,0.50,8,19,0.42,5,11,0.45,11,21,0.52
Taylor,193770,22,27,0.81,27,55,0.49,41,93,0.44,69,207,0.33,27,59,0.46
Gustafson,177924,8,11,0.73,5,10,0.50,7,18,0.39,8,22,0.36,10,24,0.42
O`Neil,191413,2,2,1.00,2,9,0.22,5,14,0.36,6,19,0.32,2,3,0.67
Aragao,203706,0,1,0.00,7,18,0.39,2,5,0.40,1,2,0.50,1,2,0.50
Moore,188099,3,5,0.60,1,4,0.25,1,10,0.10,6,17,0.35,6,14,0.43
Monson,182882,0,0,0.00,1,1,1.00,1,1,1.00,0,1,0.00,0,0,0.00
Lawson,191184,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Burgess,179324,1,3,0.33,34,54,0.63,29,70,0.41,0,0,0.00,1,3,0.33
Thomson,188235,0,1,0.00,22,43,0.51,5,11,0.45,1,2,0.50,1,1,1.00
Wilson,186284,0,0,0.00,251,425,0.59,16,21,0.76,0,0,0.00,2,11,0.18
Hanlon,190704,14,17,0.82,11,19,0.58,16,41,0.39,39,113,0.35,9,25,0.36
McLaughlin,188683,1,2,0.50,0,2,0.00,0,3,0.00,3,9,0.33,3,6,0.50
Lynn,185233,0,0,0.00,33,49,0.67,0,4,0.00,1,5,0.20,1,3,0.33
Whittaker,191582,26,34,0.76,8,16,0.50,27,58,0.47,37,102,0.36,50,130,0.38
Nieves,176161,2,3,0.67,120,205,0.59,11,25,0.44,1,15,0.07,4,8,0.50
Kirby,171615,10,15,0.67,83,132,0.63,73,162,0.45,0,0,0.00,20,43,0.47
Summers,173519,47,56,0.84,38,63,0.60,36,109,0.33,82,238,0.34,50,101,0.50
Hiller,169665,1,2,0.50,178,307,0.58,7,15,0.47,1,1,1.00,16,39,0.41
Jensen,180447,0,0,0.00,4,7,0.57,2,6,0.33,0,0,0.00,0,1,0.00
Dennis,174573,85,112,0.76,17,23,0.74,58,143,0.41,65,179,0.36,284,537,0.53
Cummings,173864,20,27,0.74,142,242,0.59,26,53,0.49,22,55,0.40,64,113,0.57
Hernandez,176890,41,54,0.76,88,167,0.53,57,114,0.50,95,220,0.43,130,242,0.54
Ranieri,171695,0,0,0.00,122,202,0.60,15,35,0.43,8,18,0.44,3,8,0.38
Bullock,172713,49,67,0.73,33,57,0.58,50,117,0.43,102,272,0.38,99,200,0.49
Hoffman,176885,88,117,0.75,16,27,0.59,63,170,0.37,65,175,0.37,247,538,0.46
Carr,181899,30,37,0.81,40,76,0.53,30,84,0.36,57,165,0.35,29,65,0.45
Albertson,175099,1,3,0.33,100,177,0.56,7,13,0.54,4,9,0.44,7,12,0.58
Ramirez,180520,2,2,1.00,111,175,0.63,16,31,0.52,7,29,0.24,2,10,0.20
Justice,180608,17,22,0.77,12,17,0.71,15,31,0.48,23,64,0.36,46,77,0.60
Reeve,178944,0,0,0.00,6,9,0.67,1,1,1.00,1,3,0.33,0,0,0.00
Edwards,179732,5,7,0.71,2,5,0.40,3,8,0.38,4,10,0.40,9,17,0.53
Cook,184555,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Giordano,179304,0,0,0.00,9,12,0.75,0,0,0.00,0,0,0.00,0,1,0.00
Weis,170909,40,56,0.71,13,25,0.52,31,90,0.34,81,177,0.46,69,166,0.42
Carrera,176284,2,2,1.00,224,390,0.57,16,39,0.41,19,43,0.44,10,17,0.59
Parks,172391,3,4,0.75,63,114,0.55,10,18,0.56,4,8,0.50,6,14,0.43
Egan,178031,12,20,0.60,12,17,0.71,11,37,0.30,15,54,0.28,39,79,0.49
Novak,184933,68,92,0.74,19,45,0.42,72,146,0.49,86,241,0.36,200,405,0.49
Lopez,187213,14,18,0.78,26,45,0.58,35,69,0.51,46,138,0.33,16,38,0.42
Eldrige,178667,7,8,0.88,1,4,0.25,5,10,0.50,10,22,0.45,3,8,0.38
Griffin,184127,0,0,0.00,2,3,0.67,0,0,0.00,0,0,0.00,0,0,0.00
Kearney,184783,1,1,1.00,0,0,0.00,0,1,0.00,1,2,0.50,1,1,1.00
Cook,173739,1,2,0.50,123,216,0.57,9,30,0.30,7,22,0.32,8,14,0.57
Walters,186019,7,9,0.78,44,90,0.49,60,150,0.40,63,187,0.34,26,54,0.48
Cooley,180118,0,0,0.00,1,2,0.50,0,3,0.00,5,10,0.50,0,2,0.00
Dickson,191315,0,0,0.00,29,49,0.59,8,12,0.67,3,9,0.33,1,2,0.50
Mack,189483,0,0,0.00,0,0,0.00,0,0,0.00,0,2,0.00,0,0,0.00
Patterson,181656,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Morrison,189053,0,1,0.00,8,11,0.73,2,7,0.29,3,10,0.30,2,3,0.67
Farrell,185324,1,1,1.00,42,89,0.47,13,29,0.45,15,43,0.35,7,14,0.50
Manning,185983,2,3,0.67,123,219,0.56,28,76,0.37,16,42,0.38,10,27,0.37
Stallworth,184023,29,44,0.66,23,40,0.57,43,97,0.44,42,126,0.33,59,135,0.44
Baumgartner,189908,3,6,0.50,0,0,0.00,3,6,0.50,5,12,0.42,5,11,0.45
Cowan,171225,2,3,0.67,332,568,0.58,5,11,0.45,0,0,0.00,5,13,0.38
Caputo,182329,50,66,0.76,10,20,0.50,47,105,0.45,73,190,0.38,105,219,0.48
Winston,178870,4,5,0.80,127,212,0.60,16,45,0.36,11,31,0.35,3,7,0.43
Hardesty,183347,1,1,1.00,0,1,0.00,0,2,0.00,4,10,0.40,2,5,0.40
Kane,180592,17,22,0.77,44,78,0.56,29,64,0.45,53,139,0.38,51,102,0.50
Jenkins,176207,58,81,0.72,12,25,0.48,40,99,0.40,73,187,0.39,142,308,0.46
Miles,169900,6,7,0.86,2,3,0.67,2,6,0.33,3,7,0.43,5,11,0.45
Woodson,177543,6,8,0.75,9,19,0.47,16,34,0.47,29,67,0.43,13,30,0.43
Jensen,177199,14,24,0.58,38,96,0.40,70,135,0.52,38,145,0.26,94,185,0.51
Russell,175267,2,3,0.67,188,373,0.50,20,32,0.62,1,2,0.50,15,18,0.83
Duffy,198850,2,4,0.50,86,166,0.52,8,14,0.57,1,8,0.12,8,19,0.42
Tatum,181839,19,27,0.70,18,48,0.38,50,105,0.48,103,251,0.41,24,51,0.47
Morales,172429,56,81,0.69,13,36,0.36,70,162,0.43,112,328,0.34,205,456,0.45
Ramirez,182261,4,6,0.67,3,6,0.50,7,18,0.39,6,12,0.50,2,4,0.50
Mills,179891,6,7,0.86,4,8,0.50,6,29,0.21,13,39,0.33,5,28,0.18
Calhoun,178758,0,0,0.00,28,47,0.60,1,5,0.20,3,8,0.38,0,3,0.00
Bridges,185739,2,5,0.40,9,14,0.64,16,36,0.44,42,122,0.34,3,9,0.33
Dunlap,178574,3,5,0.60,20,51,0.39,3,10,0.30,2,6,0.33,12,30,0.40
Fox,189102,0,0,0.00,3,6,0.50,0,0,0.00,0,2,0.00,0,0,0.00
Montanez,178899,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Gregg,179606,10,12,0.83,59,103,0.57,46,103,0.45,80,205,0.39,23,46,0.50
Barney,181391,1,1,1.00,223,352,0.63,27,55,0.49,25,66,0.38,2,9,0.22
Canepa,189402,1,2,0.50,274,448,0.61,17,29,0.59,5,24,0.21,5,11,0.45
Link,174611,62,76,0.82,41,75,0.55,62,141,0.44,61,187,0.33,127,267,0.48
Thomas,181782,74,113,0.65,32,53,0.60,76,188,0.40,150,363,0.41,395,822,0.48
Weber,177951,41,56,0.73,17,30,0.57,35,94,0.37,46,135,0.34,134,292,0.46
Alfaro,183339,2,2,1.00,5,10,0.50,6,13,0.46,4,14,0.29,3,3,1.00
Hurley,187439,0,0,0.00,10,22,0.45,0,0,0.00,0,0,0.00,0,0,0.00
Cooper,187586,12,16,0.75,9,15,0.60,19,41,0.46,13,34,0.38,8,24,0.33
Lawson,176667,8,10,0.80,67,140,0.48,13,22,0.59,21,63,0.33,24,49,0.49
Worrell,179670,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Byrd,183255,0,0,0.00,0,0,0.00,1,1,1.00,1,1,1.00,1,1,1.00
Sachs,185320,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00
McWilliams,169621,19,26,0.73,91,160,0.57,46,107,0.43,80,227,0.35,73,139,0.53
Rich,176801,0,4,0.00,151,271,0.56,38,112,0.34,15,42,0.36,10,25,0.40
Pitts,186513,1,2,0.50,100,221,0.45,27,57,0.47,11,40,0.28,7,13,0.54
Thompson,181144,53,71,0.75,32,68,0.47,39,97,0.40,114,326,0.35,110,220,0.50
Cowan,190257,47,60,0.78,17,29,0.59,44,105,0.42,49,171,0.29,71,184,0.39
Hannah,180942,2,3,0.67,116,242,0.48,17,35,0.49,18,47,0.38,13,28,0.46
Page,185671,19,27,0.70,12,28,0.43,12,41,0.29,31,122,0.25,20,38,0.53
Wood,185912,16,19,0.84,16,34,0.47,25,80,0.31,47,159,0.30,15,29,0.52
Saenz,179361,0,0,0.00,8,10,0.80,0,1,0.00,0,0,0.00,0,1,0.00
Brown,174899,6,7,0.86,1,1,1.00,1,6,0.17,5,12,0.42,10,16,0.62
Eaton,187323,0,0,0.00,0,0,0.00,1,4,0.25,0,2,0.00,0,1,0.00
Prather,170516,4,6,0.67,34,58,0.59,29,55,0.53,26,69,0.38,18,37,0.49
Moore,171443,1,1,1.00,31,53,0.58,3,7,0.43,0,0,0.00,3,13,0.23
Perdomo,179605,1,4,0.25,139,238,0.58,6,12,0.50,1,1,1.00,22,46,0.48
Arnold,170990,13,24,0.54,88,159,0.55,73,160,0.46,81,214,0.38,68,127,0.54
Keller,170958,73,117,0.62,32,46,0.70,119,303,0.39,10,35,0.29,315,641,0.49
Crawford,174976,3,3,1.00,1,3,0.33,2,4,0.50,3,13,0.23,5,11,0.45
Renfro,181449,0,5,0.00,108,181,0.60,8,23,0.35,4,18,0.22,12,25,0.48
Oglesby,189926,2,2,1.00,217,364,0.60,18,37,0.49,13,27,0.48,7,13,0.54
London,179587,3,3,1.00,1,1,1.00,5,9,0.56,8,25,0.32,2,5,0.40
Sloan,180333,18,22,0.82,14,19,0.74,26,56,0.46,32,104,0.31,20,40,0.50
Masters,185293,57,91,0.63,37,54,0.69,52,128,0.41,51,178,0.29,182,343,0.53
Stevens,188498,0,0,0.00,11,14,0.79,2,5,0.40,2,4,0.50,3,7,0.43
Whitman,177739,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Veliz,176636,8,12,0.67,51,92,0.55,33,66,0.50,63,166,0.38,24,48,0.50
Crowder,174535,6,14,0.43,135,222,0.61,20,48,0.42,26,60,0.43,50,107,0.47
Cole,183107,2,5,0.40,189,337,0.56,4,10,0.40,2,4,0.50,12,24,0.50
Shell,186739,23,36,0.64,31,51,0.61,34,70,0.49,28,90,0.31,93,191,0.49
Love,179733,12,15,0.80,11,23,0.48,53,102,0.52,52,114,0.46,23,61,0.38
Mbengue,192498,15,21,0.71,10,22,0.45,20,84,0.24,14,54,0.26,80,158,0.51
Florence,185441,12,25,0.48,11,19,0.58,16,45,0.36,25,67,0.37,41,95,0.43
Lemon,188581,0,0,0.00,4,7,0.57,4,8,0.50,3,8,0.38,1,2,0.50
Sales,186415,6,8,0.75,119,206,0.58,27,61,0.44,12,40,0.30,28,80,0.35
Meyer,191403,0,0,0.00,11,30,0.37,0,2,0.00,1,2,0.50,3,6,0.50
Fields,190384,0,0,0.00,5,9,0.56,0,1,0.00,1,2,0.50,1,1,1.00
Thayer,187661,2,2,1.00,1,3,0.33,2,6,0.33,3,11,0.27,3,4,0.75
Purvis,188648,0,2,0.00,5,11,0.45,3,5,0.60,3,7,0.43,2,4,0.50
Prather,170516,4,6,0.67,34,58,0.59,29,55,0.53,26,69,0.38,18,37,0.49
Moore,171443,1,1,1.00,31,53,0.58,3,7,0.43,0,0,0.00,3,13,0.23
Perdomo,179605,1,4,0.25,139,238,0.58,6,12,0.50,1,1,1.00,22,46,0.48
Arnold,170990,13,24,0.54,88,159,0.55,73,160,0.46,81,214,0.38,68,127,0.54
Keller,170958,73,117,0.62,32,46,0.70,119,303,0.39,10,35,0.29,315,641,0.49
Crawford,174976,3,3,1.00,1,3,0.33,2,4,0.50,3,13,0.23,5,11,0.45
Renfro,181449,0,5,0.00,108,181,0.60,8,23,0.35,4,18,0.22,12,25,0.48
Oglesby,189926,2,2,1.00,217,364,0.60,18,37,0.49,13,27,0.48,7,13,0.54
London,179587,3,3,1.00,1,1,1.00,5,9,0.56,8,25,0.32,2,5,0.40
Sloan,180333,18,22,0.82,14,19,0.74,26,56,0.46,32,104,0.31,20,40,0.50
Masters,185293,57,91,0.63,37,54,0.69,52,128,0.41,51,178,0.29,182,343,0.53
Stevens,188498,0,0,0.00,11,14,0.79,2,5,0.40,2,4,0.50,3,7,0.43
Whitman,177739,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Everhart,183230,18,21,0.86,16,32,0.50,16,42,0.38,27,82,0.33,7,15,0.47
Bartlett,182087,4,6,0.67,86,179,0.48,17,34,0.50,36,117,0.31,6,17,0.35
Arnold,171710,1,8,0.12,178,337,0.53,3,12,0.25,0,0,0.00,20,45,0.44
Seay,182927,33,45,0.73,39,64,0.61,37,104,0.36,78,206,0.38,79,168,0.47
Stuckey,179897,5,8,0.62,1,2,0.50,6,14,0.43,12,36,0.33,11,21,0.52
Kelley,189604,10,11,0.91,2,9,0.22,14,32,0.44,26,84,0.31,15,30,0.50
Johns,186203,2,3,0.67,102,180,0.57,2,4,0.50,0,0,0.00,5,8,0.62
Carter,170701,16,20,0.80,41,68,0.60,30,61,0.49,64,179,0.36,38,73,0.52
Lofton,188861,3,3,1.00,8,18,0.44,10,24,0.42,19,55,0.35,2,9,0.22
Foy,184439,9,12,0.75,4,12,0.33,9,30,0.30,12,38,0.32,23,55,0.42
Best,185859,1,1,1.00,16,25,0.64,6,8,0.75,1,6,0.17,2,5,0.40
Miyamoto,176377,3,4,0.75,180,286,0.63,21,35,0.60,1,2,0.50,14,35,0.40
Snodgrass,177309,37,51,0.73,15,36,0.42,45,87,0.52,128,305,0.42,82,163,0.50
Cochran,184897,28,49,0.57,36,67,0.54,31,81,0.38,56,164,0.34,127,271,0.47
Richardson,184583,4,7,0.57,286,468,0.61,17,42,0.40,0,0,0.00,12,20,0.60
Kerr,183062,1,2,0.50,288,462,0.62,8,17,0.47,2,6,0.33,5,13,0.38
Wang,201182,13,19,0.68,37,72,0.51,27,74,0.36,40,144,0.28,34,75,0.45
Hayashi,175742,56,79,0.71,14,27,0.52,78,186,0.42,71,190,0.37,151,309,0.49
McGrath,179492,33,38,0.87,54,81,0.67,40,93,0.43,111,306,0.36,13,32,0.41
Golden,191231,4,7,0.57,4,7,0.57,4,16,0.25,8,21,0.38,7,11,0.64
Hook,177440,1,1,1.00,4,9,0.44,6,16,0.38,9,26,0.35,3,9,0.33
Robertson,174678,0,0,0.00,1,1,1.00,0,3,0.00,0,2,0.00,1,2,0.50
McKnight,188477,0,0,0.00,1,4,0.25,0,0,0.00,0,0,0.00,0,0,0.00
Fischer,181293,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Hofman,190692,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Sherman,191535,4,6,0.67,4,5,0.80,6,14,0.43,6,20,0.30,3,9,0.33
Schwartz,199866,0,0,0.00,36,70,0.51,3,8,0.38,3,5,0.60,2,3,0.67
Schroeder,188676,1,1,1.00,1,1,1.00,1,1,1.00,1,2,0.50,1,2,0.50
Kirk,202546,0,0,0.00,3,3,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Albert,176230,65,110,0.59,27,70,0.39,89,197,0.45,70,201,0.35,299,608,0.49
Reid,187784,3,10,0.30,131,286,0.46,40,92,0.43,26,66,0.39,46,108,0.43
McMillan,190318,1,3,0.33,125,230,0.54,21,55,0.38,5,13,0.38,17,30,0.57
Allen,174421,24,30,0.80,45,83,0.54,34,93,0.37,105,288,0.36,17,37,0.46
Black,178558,29,43,0.67,29,58,0.50,48,116,0.41,43,137,0.31,46,114,0.40
Stratton,185037,26,35,0.74,8,24,0.33,25,83,0.30,24,68,0.35,49,93,0.53
Jacobs,185185,1,1,1.00,25,56,0.45,2,8,0.25,0,2,0.00,1,2,0.50
Harding,181440,3,4,0.75,11,26,0.42,32,58,0.55,0,11,0.00,5,6,0.83
Webb,188727,0,2,0.00,111,213,0.52,15,33,0.45,9,24,0.38,4,10,0.40
Jennings,190229,0,0,0.00,0,1,0.00,2,3,0.67,0,2,0.00,0,0,0.00
Wise,187809,0,0,0.00,2,6,0.33,2,6,0.33,0,0,0.00,1,4,0.25
Hutchinson,176473,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Newby,175732,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Arnett,185640,6,9,0.67,17,29,0.59,14,34,0.41,34,83,0.41,11,24,0.46
Warner,184853,1,1,1.00,75,155,0.48,4,6,0.67,0,1,0.00,1,2,0.50
Meyers,189704,0,0,0.00,14,25,0.56,0,2,0.00,0,1,0.00,1,2,0.50
Isom,181481,4,4,1.00,5,6,0.83,5,8,0.62,6,15,0.40,4,6,0.67
Leblanc,190159,1,2,0.50,0,3,0.00,0,6,0.00,3,16,0.19,5,8,0.62
Milton,171932,4,8,0.50,209,345,0.61,9,18,0.50,0,0,0.00,24,53,0.45
Scott,173172,71,94,0.76,16,24,0.67,37,105,0.35,29,104,0.28,177,337,0.53
Smallwood,183134,6,8,0.75,6,8,0.75,5,17,0.29,10,30,0.33,14,26,0.54
Burch,189589,0,0,0.00,1,5,0.20,0,2,0.00,0,0,0.00,0,0,0.00
Kuhn,178595,13,20,0.65,70,135,0.52,59,126,0.47,66,218,0.30,23,58,0.40
Feller,183569,99,136,0.73,23,35,0.66,66,161,0.41,130,299,0.43,338,659,0.51
Schmidt,179873,5,6,0.83,142,248,0.57,33,71,0.46,34,88,0.39,20,43,0.47
Webb,183458,1,2,0.50,125,198,0.63,6,12,0.50,6,13,0.46,5,10,0.50
Patterson,178009,56,63,0.89,51,79,0.65,55,98,0.56,149,415,0.36,27,47,0.57
Wood,172880,9,14,0.64,70,136,0.51,57,111,0.51,145,353,0.41,22,55,0.40
Foster,169976,13,18,0.72,98,191,0.51,11,31,0.35,6,21,0.29,63,128,0.49
Garner,171556,9,16,0.56,114,223,0.51,11,20,0.55,13,33,0.39,60,120,0.50
Bledsoe,175511,108,140,0.77,40,70,0.57,48,140,0.34,90,241,0.37,176,375,0.47
Fields,174736,85,112,0.76,28,39,0.72,93,207,0.45,87,266,0.33,251,529,0.47
Hester,179875,13,14,0.93,10,13,0.77,11,24,0.46,24,67,0.36,6,17,0.35
Faulkner,174750,1,1,1.00,204,340,0.60,9,21,0.43,15,25,0.60,6,12,0.50
Rowe,170998,24,34,0.71,13,21,0.62,17,46,0.37,22,54,0.41,41,81,0.51
McManus,184521,3,4,0.75,23,50,0.46,4,20,0.20,23,45,0.51,6,14,0.43
Garrett,175849,15,19,0.79,35,70,0.50,35,108,0.32,62,199,0.31,26,57,0.46
MacLean,175399,0,2,0.00,307,537,0.57,17,34,0.50,0,1,0.00,8,19,0.42
Slone,169757,1,1,1.00,147,263,0.56,10,15,0.67,3,9,0.33,5,9,0.56
Shelby,180707,31,41,0.76,43,68,0.63,38,94,0.40,104,296,0.35,33,71,0.46
Gilbert,170590,33,52,0.63,20,39,0.51,29,83,0.35,156,423,0.37,48,105,0.46
Forte,184276,0,1,0.00,56,94,0.60,7,17,0.41,9,28,0.32,3,5,0.60
Barney,181783,2,2,1.00,2,2,1.00,1,7,0.14,1,10,0.10,5,15,0.33
Turunen,192730,2,3,0.67,0,1,0.00,3,5,0.60,2,9,0.22,1,6,0.17
Fitzpatrick,182129,19,24,0.79,34,50,0.68,31,72,0.43,33,96,0.34,26,51,0.51
Gaines,181965,0,0,0.00,2,4,0.50,2,4,0.50,6,21,0.29,2,2,1.00
Jackson,184245,1,1,1.00,0,0,0.00,0,0,0.00,1,2,0.50,1,1,1.00
