Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Carter,197186,5,10,0.50,12,27,0.44,7,19,0.37,16,44,0.36,6,18,0.33
Williams,177205,20,27,0.74,208,383,0.54,23,45,0.51,2,6,0.33,65,119,0.55
Parks,189135,0,0,0.00,177,317,0.56,7,19,0.37,0,4,0.00,3,12,0.25
Blackburn,180158,23,37,0.62,19,35,0.54,41,73,0.56,68,194,0.35,19,41,0.46
Rider,191345,24,31,0.77,9,16,0.56,42,119,0.35,8,37,0.22,72,137,0.53
Cox,196338,1,2,0.50,0,1,0.00,0,3,0.00,0,0,0.00,2,3,0.67
Bailey,192314,5,5,1.00,116,195,0.59,63,129,0.49,4,13,0.31,3,14,0.21
Hammond,187090,2,3,0.67,152,275,0.55,11,22,0.50,0,2,0.00,13,26,0.50
Brown,185259,30,50,0.60,2,3,0.67,28,61,0.46,15,39,0.38,122,247,0.49
Basile,196505,0,0,0.00,0,1,0.00,1,1,1.00,2,2,1.00,0,0,0.00
D`Ignoti,186108,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Bowers,177528,1,2,0.50,6,13,0.46,1,6,0.17,2,7,0.29,10,24,0.42
Tekin,209670,0,0,0.00,9,15,0.60,0,0,0.00,0,0,0.00,1,1,1.00
Mercer,176149,6,7,0.86,2,5,0.40,6,21,0.29,4,18,0.22,11,31,0.35
Aldridge,186392,0,1,0.00,0,0,0.00,0,2,0.00,1,1,1.00,0,1,0.00
Caldwell,193428,10,12,0.83,40,76,0.53,32,80,0.40,61,177,0.34,8,28,0.29
Bechtel,188388,6,11,0.55,115,203,0.57,29,48,0.60,11,37,0.30,19,44,0.43
Williams,190762,4,4,1.00,113,204,0.55,20,39,0.51,7,20,0.35,13,25,0.52
Fagan,181700,80,89,0.90,42,69,0.61,53,122,0.43,169,417,0.41,80,165,0.48
Kaplan,186512,76,100,0.76,26,41,0.63,53,129,0.41,118,268,0.44,225,459,0.49
Gentry,194044,21,30,0.70,8,12,0.67,19,45,0.42,22,82,0.27,45,84,0.54
Street,193973,14,18,0.78,5,10,0.50,6,23,0.26,18,52,0.35,6,13,0.46
Barker,193376,0,0,0.00,102,182,0.56,17,33,0.52,7,21,0.33,2,4,0.50
Parker,193072,2,2,1.00,1,2,0.50,3,5,0.60,9,29,0.31,1,2,0.50
Dexter,185515,8,20,0.40,69,126,0.55,54,108,0.50,92,206,0.45,48,97,0.49
West,181427,7,11,0.64,72,117,0.62,27,61,0.44,59,183,0.32,7,23,0.30
Dempsey,174761,2,3,0.67,138,245,0.56,22,49,0.45,22,71,0.31,6,11,0.55
Adams,179800,0,1,0.00,221,353,0.63,23,51,0.45,8,22,0.36,11,16,0.69
Ferry,176185,44,65,0.68,20,27,0.74,43,107,0.40,37,113,0.33,62,136,0.46
Pressley,177913,58,89,0.65,8,15,0.53,48,138,0.35,45,119,0.38,240,486,0.49
Wade,185604,24,31,0.77,11,25,0.44,43,103,0.42,74,190,0.39,44,99,0.44
Tarver,183209,1,1,1.00,135,221,0.61,5,13,0.38,4,11,0.36,2,9,0.22
Spurlock,190065,2,2,1.00,24,51,0.47,25,50,0.50,17,79,0.22,9,15,0.60
Binder,189200,0,0,0.00,62,119,0.52,11,21,0.52,2,9,0.22,0,5,0.00
Allen,185503,0,0,0.00,3,4,0.75,2,4,0.50,1,7,0.14,1,2,0.50
