Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Temple,190152,0,1,0.00,0,0,0.00,1,3,0.33,0,2,0.00,0,0,0.00
Guy,191079,0,0,0.00,10,15,0.67,0,1,0.00,1,1,1.00,0,1,0.00
Dunn,180632,28,35,0.80,51,86,0.59,59,133,0.44,60,158,0.38,74,146,0.51
Patterson,182596,8,8,1.00,196,370,0.53,25,52,0.48,16,35,0.46,31,57,0.54
Rizzo,183809,8,13,0.62,206,373,0.55,15,38,0.39,6,21,0.29,38,71,0.54
Hanson,180516,46,60,0.77,22,51,0.43,31,111,0.28,54,155,0.35,95,210,0.45
Cable,186080,43,72,0.60,20,32,0.62,48,123,0.39,41,132,0.31,208,418,0.50
Piras,185276,17,27,0.63,8,18,0.44,22,47,0.47,29,67,0.43,36,78,0.46
Hunter,195732,4,6,0.67,2,4,0.50,5,10,0.50,3,9,0.33,6,11,0.55
Benner,194419,1,1,1.00,10,21,0.48,12,31,0.39,21,50,0.42,5,10,0.50
Weston,193097,0,1,0.00,45,97,0.46,4,12,0.33,1,6,0.17,2,2,1.00
Dalton,187712,3,4,0.75,27,67,0.40,3,10,0.30,5,15,0.33,13,31,0.42
Gallo,186867,4,5,0.80,0,3,0.00,2,20,0.10,8,31,0.26,8,19,0.42
Campos,186884,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Andrews,180271,0,0,0.00,5,12,0.42,0,0,0.00,0,2,0.00,1,1,1.00
McKenna,208170,12,15,0.80,9,18,0.50,22,42,0.52,32,106,0.30,12,28,0.43
Nye,178589,0,0,0.00,70,134,0.52,39,94,0.41,40,116,0.34,8,22,0.36
Lorenzo,198530,3,5,0.60,198,402,0.49,4,14,0.29,1,2,0.50,8,14,0.57
Smiley,184035,32,43,0.74,40,69,0.58,45,127,0.35,130,405,0.32,48,103,0.47
Gelashvili,192226,52,67,0.78,15,30,0.50,42,117,0.36,117,360,0.33,98,215,0.46
Seifert,175017,13,13,1.00,7,14,0.50,8,21,0.38,26,88,0.30,5,19,0.26
Olsson,209186,0,0,0.00,15,28,0.54,1,4,0.25,1,1,1.00,2,5,0.40
Fredrickson,174159,1,7,0.14,2,10,0.20,2,8,0.25,1,8,0.12,19,33,0.58
Berg,203330,0,1,0.00,26,52,0.50,1,2,0.50,0,0,0.00,1,2,0.50
Martinez,188019,8,9,0.89,48,76,0.63,39,82,0.48,85,263,0.32,8,14,0.57
Miller,192817,2,3,0.67,1,1,1.00,1,13,0.08,4,15,0.27,3,6,0.50
Reid,191234,0,0,0.00,4,5,0.80,0,0,0.00,0,1,0.00,0,0,0.00
Babb,187989,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Isom,176317,6,9,0.67,29,80,0.36,49,121,0.40,108,258,0.42,33,69,0.48
Gross,176635,15,24,0.62,108,176,0.61,71,142,0.50,75,193,0.39,75,137,0.55
Knepper,181278,0,0,0.00,92,165,0.56,10,22,0.45,3,17,0.18,3,4,0.75
Jeffries,175192,15,23,0.65,57,82,0.70,63,144,0.44,141,447,0.32,17,31,0.55
Chavez,195037,4,5,0.80,11,14,0.79,15,28,0.54,28,76,0.37,15,31,0.48
Yancey,192510,0,1,0.00,2,5,0.40,1,2,0.50,0,0,0.00,1,3,0.33
Graves,190142,1,1,1.00,2,6,0.33,1,4,0.25,0,2,0.00,1,3,0.33
Gaskins,185132,0,1,0.00,11,26,0.42,20,34,0.59,28,74,0.38,1,10,0.10
Taylor,183806,0,0,0.00,18,25,0.72,9,27,0.33,23,58,0.40,4,9,0.44
Turner,192227,3,4,0.75,2,3,0.67,7,20,0.35,14,30,0.47,5,18,0.28
English,191650,1,1,1.00,1,1,1.00,2,6,0.33,3,7,0.43,1,7,0.14
Sawyer,182728,4,5,0.80,165,318,0.52,5,13,0.38,5,17,0.29,9,25,0.36
Schafer,192179,0,0,0.00,1,2,0.50,0,0,0.00,0,0,0.00,0,0,0.00
Maurer,191084,2,2,1.00,2,5,0.40,5,8,0.62,6,16,0.38,3,5,0.60
Pellegrino,187515,28,44,0.64,7,9,0.78,26,79,0.33,14,43,0.33,153,304,0.50
Swanson,178048,12,19,0.63,57,110,0.52,46,109,0.42,65,177,0.37,33,70,0.47
Murphay,185060,2,4,0.50,168,265,0.63,22,36,0.61,18,44,0.41,6,10,0.60
Price,182608,1,1,1.00,238,314,0.76,19,35,0.54,8,16,0.50,4,17,0.24
Christenson,176905,35,49,0.71,37,57,0.65,57,101,0.56,103,255,0.40,87,186,0.47
Stankevicius,200934,57,70,0.81,16,22,0.73,72,167,0.43,55,178,0.31,143,290,0.49
Blair,190905,2,2,1.00,64,104,0.62,6,14,0.43,5,20,0.25,3,7,0.43
Perkins,181998,72,93,0.77,19,29,0.66,61,146,0.42,77,206,0.37,179,375,0.48
Adkins,192592,0,0,0.00,4,9,0.44,0,0,0.00,0,0,0.00,0,1,0.00
Ross,192007,1,4,0.25,91,140,0.65,7,22,0.32,9,24,0.38,5,8,0.62
Franco,196095,0,0,0.00,7,9,0.78,4,6,0.67,0,6,0.00,1,2,0.50
Bollinger,181104,0,0,0.00,0,0,0.00,0,0,0.00,2,2,1.00,0,2,0.00
Pacheco,188245,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Petry,189773,25,29,0.86,18,44,0.41,37,87,0.43,70,209,0.33,36,80,0.45
Munoz,194241,5,7,0.71,134,244,0.55,17,43,0.40,28,72,0.39,11,29,0.38
Blake,174759,1,2,0.50,242,430,0.56,6,13,0.46,0,1,0.00,7,14,0.50
Cameron,187862,5,7,0.71,25,50,0.50,34,96,0.35,51,154,0.33,10,23,0.43
Adams,178587,48,73,0.66,2,11,0.18,44,135,0.33,42,121,0.35,147,347,0.42
Spence,196075,2,2,1.00,2,3,0.67,5,14,0.36,8,24,0.33,1,2,0.50
Morrison,193150,0,1,0.00,4,11,0.36,0,0,0.00,0,0,0.00,2,2,1.00
Santini,188371,16,19,0.84,9,17,0.53,12,26,0.46,14,67,0.21,6,15,0.40
Conklin,181651,2,4,0.50,195,407,0.48,21,53,0.40,3,6,0.50,11,15,0.73
Proietti,188011,0,0,0.00,1,3,0.33,0,0,0.00,0,0,0.00,0,0,0.00
Fagan,190592,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,1,0.00
Bos,206394,0,0,0.00,3,6,0.50,0,5,0.00,1,2,0.50,1,2,0.50
Snyder,188680,0,0,0.00,47,72,0.65,1,5,0.20,0,0,0.00,2,5,0.40
Bergstrom,196152,3,3,1.00,3,4,0.75,5,7,0.71,14,28,0.50,2,7,0.29
Lankford,194565,0,0,0.00,4,6,0.67,0,1,0.00,1,1,1.00,0,0,0.00
Rader,182959,5,9,0.56,57,89,0.64,31,76,0.41,81,214,0.38,39,89,0.44
Owens,193569,11,16,0.69,73,142,0.51,37,93,0.40,59,171,0.35,16,35,0.46
Hackett,189372,0,1,0.00,124,234,0.53,14,45,0.31,13,35,0.37,6,20,0.30
McLean,186073,36,45,0.80,21,39,0.54,52,131,0.40,69,232,0.30,50,121,0.41
Sands,189084,26,40,0.65,16,25,0.64,50,109,0.46,50,149,0.34,88,198,0.44
O`Brien,175339,1,3,0.33,5,7,0.71,9,10,0.90,6,16,0.38,3,8,0.38
Hui,196434,0,0,0.00,0,0,0.00,0,1,0.00,0,1,0.00,0,0,0.00
Perry,173741,7,7,1.00,37,83,0.45,22,43,0.51,13,37,0.35,8,22,0.36
Venturi,195317,0,0,0.00,6,8,0.75,0,1,0.00,0,0,0.00,0,1,0.00
Robison,194054,2,2,1.00,2,3,0.67,3,5,0.60,3,13,0.23,2,5,0.40
Brown,186055,3,4,0.75,208,421,0.49,30,64,0.47,29,87,0.33,9,22,0.41
Romero,175973,0,0,0.00,0,1,0.00,1,1,1.00,0,2,0.00,1,2,0.50
Quick,186429,3,3,1.00,51,100,0.51,45,88,0.51,65,204,0.32,14,27,0.52
Richardson,180355,3,4,0.75,182,328,0.55,31,71,0.44,10,33,0.30,14,30,0.47
Biya,195638,2,3,0.67,148,241,0.61,8,23,0.35,11,30,0.37,8,21,0.38
Jordan,181579,28,31,0.90,28,48,0.58,39,96,0.41,53,177,0.30,14,30,0.47
Irving,182280,128,169,0.76,36,60,0.60,113,265,0.43,80,225,0.36,457,850,0.54
Grant,196637,10,16,0.62,11,17,0.65,28,51,0.55,33,75,0.44,8,22,0.36
Esposito,194369,0,0,0.00,91,176,0.52,5,16,0.31,4,20,0.20,5,7,0.71
Lopez,190753,3,3,1.00,7,21,0.33,5,14,0.36,21,52,0.40,9,14,0.64
Edwards,184846,14,22,0.64,5,12,0.42,16,49,0.33,16,53,0.30,73,146,0.50
Mares,181296,0,0,0.00,3,8,0.38,1,1,1.00,0,0,0.00,0,1,0.00
Mullins,195017,0,0,0.00,0,2,0.00,1,1,1.00,1,5,0.20,2,2,1.00
Burke,194351,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Phillips,180156,20,26,0.77,17,42,0.40,34,82,0.41,23,69,0.33,70,141,0.50
Hardy,182908,39,53,0.74,161,270,0.60,37,87,0.43,16,41,0.39,140,285,0.49
Quinn,194842,4,4,1.00,91,181,0.50,4,7,0.57,1,8,0.12,11,22,0.50
Escalera,182264,43,64,0.67,25,60,0.42,80,150,0.53,152,373,0.41,137,274,0.50
Warren,191118,33,42,0.79,13,20,0.65,45,118,0.38,28,95,0.29,92,199,0.46
Courtney,191755,0,0,0.00,1,1,1.00,0,4,0.00,2,9,0.22,1,3,0.33
Doll,190545,1,1,1.00,33,52,0.63,4,10,0.40,2,11,0.18,5,9,0.56
Rogers,189646,8,10,0.80,11,21,0.52,25,58,0.43,33,84,0.39,14,47,0.30
Ruby,186463,4,9,0.44,32,59,0.54,10,26,0.38,15,38,0.39,14,37,0.38
Hudson,185553,0,0,0.00,12,17,0.71,17,31,0.55,18,56,0.32,1,6,0.17
Cooper,189605,0,0,0.00,3,4,0.75,2,4,0.50,1,7,0.14,0,0,0.00
Howard,183976,31,50,0.62,34,63,0.54,40,94,0.43,57,143,0.40,110,220,0.50
Schiller,182487,0,0,0.00,248,428,0.58,25,50,0.50,30,74,0.41,1,4,0.25
Forte,179164,1,2,0.50,208,362,0.57,6,15,0.40,1,2,0.50,6,23,0.26
Hayes,173663,57,89,0.64,38,78,0.49,64,139,0.46,186,419,0.44,158,331,0.48
Henry,179864,54,72,0.75,13,22,0.59,36,102,0.35,67,175,0.38,103,205,0.50
Mihajlovi&cacute;,202826,11,18,0.61,7,11,0.64,9,30,0.30,14,41,0.34,10,20,0.50
Wallace,191329,0,0,0.00,1,1,1.00,1,1,1.00,0,0,0.00,0,0,0.00
McKee,189523,0,1,0.00,0,0,0.00,1,2,0.50,1,2,0.50,1,1,1.00
Lyman,188468,1,4,0.25,21,40,0.53,8,29,0.28,16,40,0.40,2,7,0.29
Nagel,187829,2,2,1.00,65,95,0.68,1,3,0.33,0,0,0.00,3,6,0.50
Russell,209226,2,2,1.00,5,10,0.50,3,10,0.30,4,20,0.20,2,4,0.50
Galindo,192372,0,0,0.00,8,15,0.53,1,3,0.33,0,0,0.00,1,1,1.00
Kristiansen,199914,4,4,1.00,1,1,1.00,2,4,0.50,1,7,0.14,0,1,0.00
Carter,179043,7,8,0.88,29,48,0.60,21,37,0.57,25,70,0.36,24,39,0.62
Franz,182763,1,2,0.50,193,346,0.56,6,17,0.35,1,5,0.20,8,22,0.36
Seaton,180435,0,0,0.00,229,357,0.64,5,10,0.50,1,5,0.20,4,10,0.40
Ross,192324,33,44,0.75,17,29,0.59,29,81,0.36,21,95,0.22,40,86,0.47
Schneider,173825,27,36,0.75,76,150,0.51,76,145,0.52,80,243,0.33,72,147,0.49
Grisson,188875,9,14,0.64,8,12,0.67,9,25,0.36,11,40,0.28,7,15,0.47
Braun,182476,0,0,0.00,24,42,0.57,1,5,0.20,1,2,0.50,4,4,1.00
Pope,182225,1,2,0.50,106,194,0.55,11,26,0.42,4,19,0.21,9,21,0.43
McKay,178953,0,0,0.00,6,10,0.60,6,10,0.60,4,9,0.44,3,7,0.43
Padgett,190316,0,1,0.00,0,1,0.00,0,2,0.00,2,8,0.25,0,0,0.00
Link,183011,75,132,0.57,34,49,0.69,89,215,0.41,91,218,0.42,339,673,0.50
Ferretti,187648,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Ramires,184646,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Stuckey,175857,12,22,0.55,201,313,0.64,34,87,0.39,50,145,0.34,64,128,0.50
Haugen,184139,5,5,1.00,237,386,0.61,28,61,0.46,12,35,0.34,5,12,0.42
Gannon,176796,0,0,0.00,159,221,0.72,5,8,0.62,0,0,0.00,0,5,0.00
George,184551,68,82,0.83,30,39,0.77,58,130,0.45,140,330,0.42,145,298,0.49
Harrison,174152,72,91,0.79,18,30,0.60,113,256,0.44,2,9,0.22,156,332,0.47
Heck,175293,11,13,0.85,6,11,0.55,8,28,0.29,18,66,0.27,25,47,0.53
Greer,180056,8,8,1.00,76,130,0.58,60,141,0.43,77,227,0.34,8,22,0.36
Snodgrass,178785,4,4,1.00,11,18,0.61,1,6,0.17,5,10,0.50,0,1,0.00
Okada,182735,8,10,0.80,43,71,0.61,16,33,0.48,28,67,0.42,16,30,0.53
Fletcher,181551,17,19,0.89,18,32,0.56,18,38,0.47,25,61,0.41,36,76,0.47
Stewart,188621,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Gillespie,182274,9,14,0.64,89,142,0.63,44,101,0.44,118,305,0.39,29,66,0.44
Hardy,181225,3,8,0.38,102,209,0.49,10,19,0.53,10,38,0.26,24,59,0.41
Hubbard,186754,1,1,1.00,280,400,0.70,5,17,0.29,0,1,0.00,1,9,0.11
Kirby,180153,53,69,0.77,28,56,0.50,72,164,0.44,95,315,0.30,91,190,0.48
Grant,175985,55,78,0.71,19,30,0.63,55,160,0.34,69,200,0.34,162,332,0.49
Driver,176332,5,6,0.83,12,26,0.46,5,16,0.31,21,51,0.41,12,21,0.57
Bartholomew,173958,18,26,0.69,9,23,0.39,34,64,0.53,32,94,0.34,51,112,0.46
Duarte,195426,1,2,0.50,7,10,0.70,3,5,0.60,1,3,0.33,4,7,0.57
Payne,188743,1,1,1.00,61,103,0.59,4,6,0.67,2,7,0.29,6,11,0.55
Hawkins,199722,1,1,1.00,2,3,0.67,3,4,0.75,1,5,0.20,0,1,0.00
Nielsen,181953,0,0,0.00,3,7,0.43,0,0,0.00,0,0,0.00,0,0,0.00
Clifford,178516,0,0,0.00,0,0,0.00,2,2,1.00,1,3,0.33,2,6,0.33
Sprague,179023,13,15,0.87,68,125,0.54,57,125,0.46,108,269,0.40,31,80,0.39
Evans,182730,7,13,0.54,148,280,0.53,23,55,0.42,9,27,0.33,61,118,0.52
Guillen,182776,4,11,0.36,145,280,0.52,9,14,0.64,3,13,0.23,43,85,0.51
Weiss,185895,53,74,0.72,26,53,0.49,67,160,0.42,74,186,0.40,144,298,0.48
Stark,180833,90,123,0.73,22,36,0.61,75,194,0.39,41,119,0.34,302,647,0.47
Monti,180944,6,10,0.60,12,17,0.71,14,30,0.47,16,52,0.31,23,52,0.44
Fraley,189203,10,13,0.77,2,4,0.50,13,37,0.35,11,33,0.33,38,78,0.49
Gooch,187197,5,5,1.00,57,111,0.51,1,11,0.09,4,14,0.29,11,21,0.52
Porter,186722,5,8,0.62,13,31,0.42,19,35,0.54,16,46,0.35,14,28,0.50
Toler,186297,2,6,0.33,38,82,0.46,6,13,0.46,6,16,0.38,17,35,0.49
Greco,194051,0,0,0.00,4,5,0.80,0,0,0.00,0,0,0.00,0,0,0.00
Sims,178883,5,5,1.00,4,5,0.80,4,8,0.50,9,18,0.50,7,12,0.58
Mays,193841,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Vitale,181128,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Slater,186619,15,30,0.50,38,77,0.49,30,78,0.38,32,126,0.25,77,186,0.41
Day,176727,2,3,0.67,175,298,0.59,51,106,0.48,34,79,0.43,5,11,0.45
Silva,200750,2,3,0.67,23,45,0.51,10,29,0.34,4,11,0.36,2,9,0.22
Weathers,177493,38,48,0.79,29,48,0.60,49,83,0.59,167,460,0.36,18,35,0.51
Rossetti,182816,24,33,0.73,16,29,0.55,61,115,0.53,85,226,0.38,41,91,0.45
Faulkner,205318,5,5,1.00,10,16,0.62,16,34,0.47,16,58,0.28,3,10,0.30
Cairns,194906,6,13,0.46,17,27,0.63,8,24,0.33,9,30,0.30,32,68,0.47
Fugate,192190,0,0,0.00,7,10,0.70,0,1,0.00,1,3,0.33,1,1,1.00
Cone,180805,0,0,0.00,114,178,0.64,15,43,0.35,13,33,0.39,3,7,0.43
Bernard,205166,0,2,0.00,177,293,0.60,5,9,0.56,0,0,0.00,3,7,0.43
Doyle,197778,2,2,1.00,0,0,0.00,2,4,0.50,1,3,0.33,3,6,0.50
Jovanovi&cacute;,209018,0,0,0.00,0,1,0.00,0,1,0.00,1,4,0.25,1,1,1.00
Freed,187461,3,6,0.50,129,244,0.53,33,87,0.38,38,124,0.31,8,20,0.40
Webb,179937,52,73,0.71,51,86,0.59,75,213,0.35,6,16,0.38,210,438,0.48
Mariani,192538,1,3,0.33,101,177,0.57,22,52,0.42,4,13,0.31,8,17,0.47
Gardner,191236,7,10,0.70,16,35,0.46,15,48,0.31,25,70,0.36,4,18,0.22
McHenry,182826,41,54,0.76,16,27,0.59,23,76,0.30,31,80,0.39,105,226,0.46
Coughlin,195359,6,9,0.67,11,22,0.50,12,32,0.38,14,46,0.30,2,4,0.50
Saunders,186920,16,23,0.70,52,110,0.47,31,83,0.37,59,169,0.35,45,86,0.52
Livingston,184153,7,8,0.88,162,319,0.51,15,37,0.41,1,2,0.50,18,45,0.40
Ziegler,181664,2,4,0.50,7,13,0.54,3,7,0.43,7,22,0.32,4,8,0.50
Griffin,196221,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Donaldson,175408,23,41,0.56,41,65,0.63,30,71,0.42,29,80,0.36,111,205,0.54
House,194182,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Santana,194047,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Kidd,193142,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Warner,178985,20,22,0.91,40,69,0.58,38,87,0.44,61,165,0.37,17,37,0.46
Ham,189828,3,5,0.60,119,254,0.47,21,45,0.47,2,15,0.13,24,56,0.43
George,190092,1,1,1.00,119,252,0.47,12,24,0.50,4,10,0.40,13,28,0.46
Vergara,179932,31,49,0.63,22,45,0.49,24,64,0.38,43,137,0.31,74,173,0.43
Rudd,181919,45,75,0.60,12,20,0.60,50,118,0.42,45,131,0.34,146,327,0.45
Oldham,180929,0,1,0.00,83,148,0.56,3,7,0.43,0,0,0.00,4,7,0.57
Grier,190476,7,11,0.64,10,13,0.77,20,44,0.45,31,99,0.31,16,29,0.55
Velasco,188265,6,9,0.67,4,11,0.36,11,34,0.32,10,36,0.28,24,46,0.52
Fontana,187992,2,3,0.67,47,94,0.50,11,25,0.44,5,19,0.26,17,27,0.63
Townsend,187790,1,1,1.00,4,7,0.57,0,2,0.00,1,5,0.20,1,1,1.00
Fischer,191544,0,0,0.00,61,94,0.65,31,64,0.48,2,13,0.15,4,11,0.36
Mackay,190412,0,0,0.00,2,7,0.29,1,1,1.00,0,0,0.00,0,0,0.00
Magnum,191706,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00
Powell,189727,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Snider,179966,30,41,0.73,60,117,0.51,63,124,0.51,118,307,0.38,103,213,0.48
Terry,175401,7,8,0.88,209,341,0.61,13,36,0.36,1,2,0.50,30,57,0.53
Foss,184105,2,4,0.50,142,234,0.61,2,7,0.29,0,0,0.00,7,16,0.44
Wyman,175560,86,108,0.80,37,75,0.49,85,156,0.54,147,420,0.35,183,363,0.50
Duffy,187978,41,52,0.79,20,25,0.80,35,72,0.49,33,105,0.31,70,137,0.51
Keene,200146,0,0,0.00,70,98,0.71,19,38,0.50,18,51,0.35,0,3,0.00
Wray,191485,0,0,0.00,102,151,0.68,7,12,0.58,0,0,0.00,3,4,0.75
Jacoby,188580,14,20,0.70,13,20,0.65,12,24,0.50,18,49,0.37,24,36,0.67
Blakely,186743,6,6,1.00,19,35,0.54,14,42,0.33,28,89,0.31,5,17,0.29
Matthews,186270,11,13,0.85,4,6,0.67,9,24,0.38,8,34,0.24,28,57,0.49
Katz,179727,0,0,0.00,0,5,0.00,0,0,0.00,0,0,0.00,0,1,0.00
Beckham,181595,7,12,0.58,56,127,0.44,70,129,0.54,147,336,0.44,9,23,0.39
Lowery,176175,21,31,0.68,180,298,0.60,40,89,0.45,32,81,0.40,81,187,0.43
Fleming,177906,1,3,0.33,157,269,0.58,18,30,0.60,8,28,0.29,17,37,0.46
Isales,183253,34,39,0.87,23,34,0.68,29,74,0.39,80,207,0.39,11,31,0.35
Bowie,181464,80,107,0.75,27,41,0.66,131,271,0.48,4,13,0.31,285,566,0.50
Clinton,188303,1,1,1.00,121,192,0.63,2,8,0.25,7,16,0.44,1,6,0.17
Lester,180414,5,7,0.71,17,35,0.49,22,46,0.48,31,85,0.36,17,37,0.46
Lopez,179616,13,17,0.76,10,18,0.56,11,26,0.42,11,39,0.28,22,53,0.42
Chang,189167,0,0,0.00,0,0,0.00,0,1,0.00,0,2,0.00,0,0,0.00
Bartley,190830,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
O`Donnell,188593,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Dixon,190068,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Hawkins,179423,34,56,0.61,34,62,0.55,42,122,0.34,78,225,0.35,111,231,0.48
Kelly,193257,0,1,0.00,118,255,0.46,16,41,0.39,11,35,0.31,6,18,0.33
Griffin,178895,0,0,0.00,124,203,0.61,32,80,0.40,8,19,0.42,4,8,0.50
Brubaker,190329,42,66,0.64,25,51,0.49,53,154,0.34,47,142,0.33,153,316,0.48
Martinez,185942,24,36,0.67,8,24,0.33,23,79,0.29,43,114,0.38,40,84,0.48
Jenkins,196226,0,0,0.00,6,14,0.43,4,13,0.31,13,37,0.35,4,6,0.67
Wynne,193462,9,10,0.90,1,7,0.14,8,29,0.28,10,41,0.24,5,11,0.45
Wagoner,188496,4,5,0.80,33,73,0.45,4,20,0.20,3,26,0.12,4,8,0.50
Day,186478,1,1,1.00,31,55,0.56,3,9,0.33,0,2,0.00,10,16,0.62
Stinson,184124,11,19,0.58,5,9,0.56,19,55,0.35,11,47,0.23,44,100,0.44
Frick,190387,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Cole,193147,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Ford,189011,0,1,0.00,0,0,0.00,1,2,0.50,0,4,0.00,3,5,0.60
Heaton,187811,6,9,0.67,33,64,0.52,31,79,0.39,39,132,0.30,17,37,0.46
Robertson,185045,5,7,0.71,114,215,0.53,9,16,0.56,2,4,0.50,17,43,0.40
Satterfield,183912,0,0,0.00,134,223,0.60,9,23,0.39,5,10,0.50,6,13,0.46
Johns,181801,29,38,0.76,34,79,0.43,39,103,0.38,52,143,0.36,78,159,0.49
Parker,181217,37,50,0.74,15,42,0.36,43,143,0.30,51,148,0.34,97,218,0.44
Maclin,178963,0,0,0.00,1,1,1.00,0,1,0.00,2,2,1.00,1,1,1.00
Rasmussen,189596,21,25,0.84,20,39,0.51,30,72,0.42,18,74,0.24,25,58,0.43
Flaherty,189371,1,1,1.00,12,26,0.46,6,21,0.29,19,56,0.34,4,10,0.40
Langston,183872,2,5,0.40,3,13,0.23,13,27,0.48,19,62,0.31,3,8,0.38
McGowan,179271,0,0,0.00,2,8,0.25,0,1,0.00,0,1,0.00,1,1,1.00
