Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
J. McGarry,206824,1,1,1.00,3,3,1.00,0,3,0.00,1,9,0.11,2,2,1.00,1,1,1.00,2,4,0.50,4,7,0.57
O. Kemp,194395,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
V. Kemp,190959,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Rich,203406,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. McGregor,206186,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Vincent,208162,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Lawton,188564,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Griffin,203949,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Lindberg,200495,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Bartolini,200145,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Burkett,197605,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. King,209794,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Paige,203464,15,19,0.79,23,57,0.40,20,50,0.40,35,117,0.30,10,13,0.77,26,43,0.60,55,105,0.52,68,184,0.37
H. Murray,208935,0,0,0.00,108,198,0.55,14,32,0.44,7,22,0.32,11,23,0.48,99,187,0.53,5,14,0.36,7,15,0.47
D. Hodson,192519,3,4,0.75,277,411,0.67,18,33,0.55,23,64,0.36,17,42,0.40,129,295,0.44,2,13,0.15,4,8,0.50
J. Irving,192745,40,53,0.75,30,53,0.57,46,93,0.49,111,310,0.36,20,22,0.91,14,25,0.56,63,140,0.45,75,212,0.35
L. Hunt,191892,57,93,0.61,18,28,0.64,60,148,0.41,48,132,0.36,26,34,0.76,13,20,0.65,38,129,0.29,62,187,0.33
D. Johnson,202816,22,27,0.81,9,16,0.56,18,48,0.38,36,85,0.42,13,19,0.68,4,7,0.57,21,61,0.34,33,85,0.39
