Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
D. Ferri,197601,1,2,0.50,67,142,0.47,2,7,0.29,8,17,0.47,8,10,0.80,76,113,0.67,10,16,0.62,3,9,0.33
R. Broadhurst,222130,2,3,0.67,25,38,0.66,4,10,0.40,4,8,0.50,2,3,0.67,51,82,0.62,3,10,0.30,0,8,0.00
S. Herman,207696,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Jeffrey,193536,9,15,0.60,48,118,0.41,56,112,0.50,66,192,0.34,11,13,0.85,36,69,0.52,35,88,0.40,44,141,0.31
A. Poole,209130,1,2,0.50,177,362,0.49,24,52,0.46,18,56,0.32,20,33,0.61,110,253,0.43,11,19,0.58,7,24,0.29
L. Redd,193793,0,0,0.00,182,334,0.54,4,13,0.31,6,11,0.55,18,37,0.49,158,313,0.50,12,21,0.57,11,32,0.34
E. Busch,207331,28,38,0.74,19,28,0.68,26,83,0.31,23,81,0.28,26,33,0.79,20,32,0.62,76,170,0.45,83,226,0.37
A. Dean,206602,71,104,0.68,8,28,0.29,67,158,0.42,81,223,0.36,42,52,0.81,16,27,0.59,60,142,0.42,82,224,0.37
D. Moseley,197657,4,6,0.67,29,51,0.57,24,52,0.46,26,95,0.27,3,6,0.50,9,16,0.56,26,61,0.43,29,93,0.31
T. Wise,207270,1,2,0.50,53,116,0.46,5,13,0.38,0,9,0.00,6,12,0.50,87,161,0.54,5,19,0.26,5,25,0.20
J. Feldman,194140,9,11,0.82,23,42,0.55,29,61,0.48,57,153,0.37,18,20,0.90,3,11,0.27,22,64,0.34,31,101,0.31
P. McCall,198127,3,3,1.00,2,2,1.00,2,3,0.67,0,2,0.00,0,1,0.00,1,1,1.00,1,2,0.50,5,11,0.45
T. Duckworth,196027,0,0,0.00,0,2,0.00,2,6,0.33,0,0,0.00,0,1,0.00,1,2,0.50,2,4,0.50,1,2,0.50
G. Porter,202921,0,0,0.00,2,4,0.50,0,0,0.00,1,1,1.00,1,1,1.00,1,3,0.33,1,2,0.50,0,2,0.00
M. Poulsen,209218,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Hudson,209963,0,0,0.00,1,2,0.50,0,2,0.00,0,1,0.00,0,0,0.00,2,2,1.00,0,1,0.00,1,5,0.20
G. Richards,209379,2,2,1.00,0,1,0.00,0,0,0.00,2,3,0.67,1,1,1.00,0,0,0.00,2,6,0.33,2,4,0.50
M. Estrada,201021,15,26,0.58,37,81,0.46,39,89,0.44,38,126,0.30,16,18,0.89,53,82,0.65,30,80,0.38,62,166,0.37
C. Baughman,198164,22,38,0.58,75,174,0.43,32,74,0.43,11,44,0.25,25,37,0.68,96,148,0.65,38,85,0.45,36,105,0.34
J. Bowman,207274,2,3,0.67,110,199,0.55,11,22,0.50,5,21,0.24,16,27,0.59,160,349,0.46,7,23,0.30,9,21,0.43
A. McKenzie,194417,25,35,0.71,34,76,0.45,44,105,0.42,99,275,0.36,15,19,0.79,39,57,0.68,45,131,0.34,66,185,0.36
L. Massey,196452,46,57,0.81,101,178,0.57,75,174,0.43,69,239,0.29,24,30,0.80,65,103,0.63,47,134,0.35,101,218,0.46
C. Best,201914,0,2,0.00,6,13,0.46,1,19,0.05,2,2,1.00,7,9,0.78,24,34,0.71,9,19,0.47,10,26,0.38
D. Romano,197223,12,18,0.67,11,23,0.48,19,43,0.44,18,59,0.31,10,13,0.77,16,23,0.70,23,62,0.37,31,108,0.29
C. Johnston,193752,2,3,0.67,11,26,0.42,9,20,0.45,0,5,0.00,1,1,1.00,8,15,0.53,5,20,0.25,7,23,0.30
R. Byrd,199296,0,0,0.00,3,8,0.38,0,2,0.00,0,0,0.00,0,0,0.00,10,13,0.77,0,0,0.00,0,1,0.00
K. Priest,206155,0,0,0.00,18,35,0.51,8,14,0.57,13,35,0.37,5,8,0.62,65,120,0.54,6,14,0.43,6,10,0.60
M. Francis,208314,3,6,0.50,1,3,0.33,5,10,0.50,0,1,0.00,3,3,1.00,3,5,0.60,3,8,0.38,12,20,0.60
M. Grimm,197611,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,1,2,0.50,0,1,0.00
D. Knudsen,192008,44,67,0.66,31,50,0.62,45,99,0.45,119,299,0.40,49,58,0.84,19,28,0.68,60,136,0.44,84,234,0.36
S. Bruner,199448,5,8,0.62,122,205,0.60,62,124,0.50,53,143,0.37,19,27,0.70,79,135,0.59,34,80,0.42,30,120,0.25
O. Rollins,189208,3,5,0.60,150,261,0.57,16,33,0.48,14,46,0.30,4,19,0.21,97,238,0.41,14,35,0.40,14,24,0.58
D. Gilmore,193413,38,50,0.76,23,39,0.59,39,83,0.47,164,424,0.39,15,19,0.79,24,38,0.63,38,102,0.37,52,204,0.25
B. Allen,200851,46,56,0.82,20,30,0.67,21,44,0.48,32,118,0.27,21,27,0.78,15,32,0.47,31,64,0.48,50,157,0.32
K. Houston,202869,1,1,1.00,26,43,0.60,3,9,0.33,10,22,0.45,6,6,1.00,18,42,0.43,11,18,0.61,10,26,0.38
J. Rice,203416,5,8,0.62,53,82,0.65,41,82,0.50,69,180,0.38,11,16,0.69,30,51,0.59,32,81,0.40,51,141,0.36
A. Fontana,203617,10,11,0.91,3,10,0.30,10,27,0.37,16,52,0.31,5,7,0.71,3,10,0.30,11,29,0.38,15,44,0.34
S. Crabtree,203684,2,4,0.50,0,1,0.00,6,11,0.55,3,12,0.25,1,1,1.00,1,1,1.00,4,11,0.36,9,16,0.56
H. Johnston,193057,0,1,0.00,70,105,0.67,4,8,0.50,0,1,0.00,1,4,0.25,86,165,0.52,4,11,0.36,8,15,0.53
T. Malone,199159,1,2,0.50,87,141,0.62,20,45,0.44,2,8,0.25,9,13,0.69,111,203,0.55,6,10,0.60,4,17,0.24
K. Rizzo,205931,2,2,1.00,3,6,0.50,1,1,1.00,2,4,0.50,1,1,1.00,4,7,0.57,2,4,0.50,0,3,0.00
C. Cummins,189000,20,26,0.77,15,19,0.79,14,35,0.40,22,45,0.49,14,16,0.88,21,35,0.60,25,62,0.40,37,111,0.33
K. Colloway,195795,12,13,0.92,44,84,0.52,16,33,0.48,1,6,0.17,4,6,0.67,46,100,0.46,9,28,0.32,7,16,0.44
R. Borden,203678,3,5,0.60,308,475,0.65,5,14,0.36,1,3,0.33,5,12,0.42,133,255,0.52,8,19,0.42,11,24,0.46
M. Hurley,187875,29,34,0.85,19,28,0.68,46,80,0.57,47,112,0.42,17,22,0.77,9,17,0.53,30,63,0.48,43,136,0.32
D. Walters,199639,26,28,0.93,35,65,0.54,72,178,0.40,8,25,0.32,24,36,0.67,7,22,0.32,29,84,0.35,42,147,0.29
B. Thompson,208567,6,9,0.67,72,160,0.45,35,94,0.37,55,153,0.36,15,16,0.94,91,136,0.67,31,82,0.38,40,113,0.35
J. Evans,197456,15,26,0.58,3,9,0.33,22,48,0.46,15,49,0.31,8,10,0.80,4,5,0.80,16,37,0.43,12,50,0.24
T. Way,194287,5,9,0.56,6,8,0.75,8,16,0.50,27,81,0.33,6,9,0.67,13,22,0.59,18,39,0.46,25,69,0.36
G. Green,223822,0,0,0.00,0,1,0.00,0,1,0.00,0,0,0.00,0,0,0.00,1,1,1.00,1,1,1.00,1,2,0.50
I. Guzman,190077,0,0,0.00,27,49,0.55,2,3,0.67,5,7,0.71,1,2,0.50,25,45,0.56,0,3,0.00,3,7,0.43
A. Schott,200232,0,0,0.00,65,108,0.60,5,12,0.42,1,3,0.33,4,8,0.50,65,144,0.45,13,25,0.52,8,22,0.36
H. Fisher,203028,4,5,0.80,19,36,0.53,11,27,0.41,16,53,0.30,5,7,0.71,9,16,0.56,16,41,0.39,18,64,0.28
L. Phillips,196003,5,7,0.71,115,212,0.54,14,57,0.25,19,72,0.26,11,17,0.65,108,173,0.62,28,77,0.36,36,103,0.35
C. Tilley,193023,0,0,0.00,94,175,0.54,1,9,0.11,1,7,0.14,18,26,0.69,104,247,0.42,12,32,0.38,16,31,0.52
D. Blakely,195225,2,2,1.00,216,371,0.58,0,5,0.00,0,0,0.00,19,28,0.68,149,282,0.53,17,25,0.68,7,21,0.33
O. Holloway,197256,17,20,0.85,21,62,0.34,34,84,0.40,115,282,0.41,14,16,0.88,30,45,0.67,53,115,0.46,70,171,0.41
L. Kelly,199287,109,158,0.69,13,30,0.43,103,293,0.35,6,21,0.29,45,54,0.83,21,28,0.75,68,164,0.41,76,220,0.35
F. Parisi,212354,0,0,0.00,4,12,0.33,1,8,0.12,1,5,0.20,1,1,1.00,20,48,0.42,0,1,0.00,0,2,0.00
B. Roper,201979,27,32,0.84,11,23,0.48,35,76,0.46,55,186,0.30,22,25,0.88,19,27,0.70,41,117,0.35,70,171,0.41
M. Barnes,202004,0,0,0.00,10,27,0.37,5,19,0.26,12,34,0.35,2,3,0.67,23,38,0.61,2,9,0.22,0,0,0.00
B. Harley,197062,3,4,0.75,14,35,0.40,12,30,0.40,21,62,0.34,3,4,0.75,17,24,0.71,9,25,0.36,26,58,0.45
C. Mullins,203268,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,1,2,0.50,0,0,0.00,2,3,0.67,1,1,1.00
T. Willis,200094,3,6,0.50,2,7,0.29,12,24,0.50,6,25,0.24,12,14,0.86,9,11,0.82,10,24,0.42,17,49,0.35
D. Wilbur,195708,2,2,1.00,1,1,1.00,0,2,0.00,4,8,0.50,2,2,1.00,2,2,1.00,6,7,0.86,9,15,0.60
T. Cohen,201433,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,3,0.33,1,2,0.50,0,0,0.00
J. Sommer,196704,24,30,0.80,31,76,0.41,51,121,0.42,122,383,0.32,18,20,0.90,36,57,0.63,54,123,0.44,83,226,0.37
K. Carter,202355,0,1,0.00,74,151,0.49,24,51,0.47,11,24,0.46,17,20,0.85,116,191,0.61,10,19,0.53,7,22,0.32
E. Cortez,202969,0,0,0.00,64,119,0.54,1,5,0.20,0,0,0.00,6,8,0.75,77,110,0.70,3,6,0.50,2,7,0.29
W. Webster,199711,35,43,0.81,30,57,0.53,42,92,0.46,105,350,0.30,52,60,0.87,16,31,0.52,52,118,0.44,93,253,0.37
J. Pierce,201520,25,30,0.83,42,100,0.42,85,154,0.55,104,272,0.38,18,26,0.69,91,149,0.61,48,109,0.44,72,192,0.38
C. Porter,199037,7,8,0.88,1,2,0.50,1,5,0.20,2,8,0.25,5,6,0.83,5,6,0.83,6,13,0.46,8,25,0.32
J. Knepper,197407,2,3,0.67,38,89,0.43,13,32,0.41,2,22,0.09,6,8,0.75,81,112,0.72,8,17,0.47,6,8,0.75
D. Fiore,203809,8,12,0.67,16,33,0.48,15,46,0.33,61,188,0.32,11,11,1.00,15,22,0.68,22,64,0.34,31,94,0.33
S. Lambert,209198,0,0,0.00,28,54,0.52,13,25,0.52,3,15,0.20,0,1,0.00,59,101,0.58,7,12,0.58,3,13,0.23
J. Gunn,209848,2,3,0.67,120,241,0.50,21,47,0.45,8,26,0.31,11,15,0.73,188,310,0.61,11,25,0.44,9,27,0.33
D. Klinger,208277,8,11,0.73,6,14,0.43,11,38,0.29,37,106,0.35,7,9,0.78,11,14,0.79,23,44,0.52,38,86,0.44
C. Brooks,208855,0,0,0.00,3,6,0.50,0,0,0.00,0,0,0.00,0,1,0.00,6,12,0.50,1,1,1.00,0,2,0.00
J. Solomon,198342,2,2,1.00,2,5,0.40,0,8,0.00,1,9,0.11,3,4,0.75,19,35,0.54,9,17,0.53,14,35,0.40
R. Ferraro,205242,2,3,0.67,2,2,1.00,2,4,0.50,2,11,0.18,1,1,1.00,3,6,0.50,2,7,0.29,5,17,0.29
V. Buffington,207356,0,0,0.00,0,0,0.00,0,0,0.00,3,3,1.00,0,0,0.00,0,0,0.00,0,0,0.00,1,4,0.25
C. Cammareri,204975,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
T. Davis,200651,6,11,0.55,44,86,0.51,49,114,0.43,90,234,0.38,16,16,1.00,47,69,0.68,54,113,0.48,55,162,0.34
S. Parker,192531,1,1,1.00,98,170,0.58,8,18,0.44,6,14,0.43,4,6,0.67,63,119,0.53,3,11,0.27,3,10,0.30
J. Hooks,196720,0,1,0.00,134,238,0.56,17,32,0.53,9,21,0.43,16,33,0.48,178,332,0.54,7,18,0.39,9,25,0.36
H. David,194375,58,73,0.79,26,48,0.54,46,109,0.42,173,453,0.38,23,27,0.85,23,32,0.72,57,120,0.47,65,192,0.34
P. Henley,194312,25,39,0.64,12,28,0.43,34,73,0.47,56,178,0.31,45,62,0.73,22,29,0.76,54,122,0.44,51,175,0.29
B. Zimmermann,203724,1,1,1.00,53,84,0.63,2,15,0.13,4,15,0.27,8,13,0.62,79,116,0.68,8,14,0.57,7,19,0.37
L. Carr,196537,19,33,0.58,4,11,0.36,21,56,0.38,25,73,0.34,17,20,0.85,7,16,0.44,29,69,0.42,34,108,0.31
M. Moser,197596,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0.50,0,0,0.00,0,0,0.00
C. Huff,196572,5,5,1.00,1,2,0.50,2,5,0.40,5,15,0.33,3,3,1.00,4,6,0.67,9,17,0.53,4,15,0.27
L. Cheney,196848,0,3,0.00,62,124,0.50,13,42,0.31,8,30,0.27,27,37,0.73,184,256,0.72,18,35,0.51,19,41,0.46
M. Woodard,207317,14,20,0.70,5,13,0.38,17,38,0.45,31,81,0.38,7,7,1.00,5,18,0.28,22,43,0.51,21,59,0.36
C. Gutierrez,208355,4,7,0.57,13,30,0.43,10,31,0.32,25,70,0.36,2,2,1.00,16,23,0.70,19,45,0.42,21,63,0.33
L. Knudsen,209554,0,0,0.00,2,3,0.67,1,5,0.20,3,6,0.50,0,0,0.00,1,1,1.00,0,3,0.00,0,4,0.00
A. Baughman,205854,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0.50,0,1,0.00
J. Madsen,209613,0,0,0.00,8,20,0.40,5,8,0.62,7,32,0.22,3,3,1.00,8,15,0.53,9,22,0.41,13,34,0.38
E. McDonald,208564,0,1,0.00,12,32,0.38,2,3,0.67,1,3,0.33,2,4,0.50,29,49,0.59,4,14,0.29,1,3,0.33
D. Longoria,215410,0,0,0.00,88,155,0.57,9,15,0.60,0,3,0.00,9,19,0.47,113,216,0.52,5,12,0.42,4,18,0.22
R. McCall,194796,15,16,0.94,6,17,0.35,9,31,0.29,20,59,0.34,19,22,0.86,12,18,0.67,24,59,0.41,27,72,0.38
D. Price,203967,5,6,0.83,4,13,0.31,7,13,0.54,11,35,0.31,8,10,0.80,17,32,0.53,16,47,0.34,39,100,0.39
C. Osbourne,209684,0,0,0.00,0,0,0.00,0,0,0.00,2,4,0.50,1,1,1.00,2,2,1.00,4,7,0.57,3,9,0.33
D. Brambilla,198407,0,0,0.00,38,59,0.64,6,12,0.50,4,8,0.50,3,6,0.50,27,57,0.47,1,2,0.50,0,2,0.00
J. Shipp,196694,0,1,0.00,13,26,0.50,1,3,0.33,1,1,1.00,2,2,1.00,14,25,0.56,0,1,0.00,3,7,0.43
H. Call,209179,2,2,1.00,3,6,0.50,1,5,0.20,0,1,0.00,2,3,0.67,4,7,0.57,0,2,0.00,6,11,0.55
L. Sylvester,198117,30,52,0.58,6,11,0.55,37,101,0.37,28,78,0.36,28,37,0.76,14,21,0.67,56,99,0.57,75,188,0.40
Z. Cramer,199251,36,44,0.82,14,26,0.54,42,84,0.50,84,215,0.39,22,26,0.85,24,37,0.65,47,111,0.42,60,180,0.33
J. Jennings,206841,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,1,1,1.00
K. Branch,188774,16,20,0.80,38,79,0.48,42,80,0.53,77,192,0.40,16,21,0.76,34,58,0.59,42,91,0.46,58,148,0.39
S. Hull,188467,0,0,0.00,228,375,0.61,18,50,0.36,16,51,0.31,7,13,0.54,123,252,0.49,17,30,0.57,3,15,0.20
C. Sturgeon,190928,2,4,0.50,222,393,0.56,4,15,0.27,1,3,0.33,11,20,0.55,117,241,0.49,10,17,0.59,5,14,0.36
E. Darby,187820,10,16,0.62,55,95,0.58,47,86,0.55,55,153,0.36,9,12,0.75,19,35,0.54,26,82,0.32,40,142,0.28
D. Burley,198030,4,7,0.57,111,208,0.53,41,64,0.64,11,42,0.26,9,18,0.50,133,241,0.55,8,26,0.31,13,42,0.31
B. Knudsen,192366,15,17,0.88,223,362,0.62,20,49,0.41,41,114,0.36,16,28,0.57,115,258,0.45,19,38,0.50,16,42,0.38
Q. Bridges,188195,20,33,0.61,108,204,0.53,41,92,0.45,70,174,0.40,22,31,0.71,49,99,0.49,23,70,0.33,50,127,0.39
B. Colombo,191297,38,59,0.64,8,16,0.50,52,103,0.50,32,108,0.30,24,33,0.73,9,19,0.47,47,100,0.47,36,139,0.26
B. Hashimoto,206461,5,6,0.83,28,67,0.42,10,27,0.37,32,100,0.32,11,14,0.79,35,68,0.51,25,69,0.36,36,114,0.32
K. Key,209915,1,2,0.50,64,121,0.53,8,27,0.30,12,28,0.43,13,17,0.76,93,180,0.52,12,25,0.48,9,27,0.33
T. Barksdale,207513,1,1,1.00,11,20,0.55,17,39,0.44,16,46,0.35,7,9,0.78,19,32,0.59,14,36,0.39,18,58,0.31
L. Mattox,193505,13,14,0.93,4,13,0.31,21,39,0.54,15,42,0.36,16,20,0.80,9,14,0.64,18,48,0.38,27,77,0.35
R. Hubbard,200876,0,0,0.00,24,36,0.67,4,11,0.36,5,15,0.33,3,7,0.43,22,40,0.55,2,21,0.10,9,32,0.28
T. Newman,204980,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
M. McRae,205553,4,6,0.67,5,9,0.56,6,15,0.40,10,32,0.31,6,6,1.00,4,6,0.67,10,29,0.34,10,35,0.29
K. Zimmerman,198595,10,13,0.77,19,40,0.47,22,50,0.44,37,98,0.38,7,10,0.70,7,18,0.39,32,71,0.45,42,105,0.40
J. Reilly,200579,6,7,0.86,117,223,0.52,5,19,0.26,0,1,0.00,15,20,0.75,106,175,0.61,9,17,0.53,6,15,0.40
G. Fontenot,188556,0,0,0.00,57,112,0.51,9,23,0.39,0,5,0.00,4,8,0.50,73,138,0.53,5,9,0.56,4,12,0.33
C. Tubbs,193421,18,19,0.95,15,28,0.54,25,52,0.48,46,131,0.35,9,10,0.90,12,16,0.75,19,52,0.37,27,102,0.26
C. Pope,203713,38,45,0.84,11,17,0.65,24,59,0.41,22,86,0.26,13,16,0.81,9,19,0.47,24,56,0.43,37,93,0.40
T. Riley,209243,0,0,0.00,10,15,0.67,2,5,0.40,0,3,0.00,0,3,0.00,7,9,0.78,1,3,0.33,1,2,0.50
B. Strong,187640,3,3,1.00,176,287,0.61,18,41,0.44,0,1,0.00,12,23,0.52,78,178,0.44,4,14,0.29,3,14,0.21
L. Chadwick,209902,5,5,1.00,0,5,0.00,4,15,0.27,11,36,0.31,5,7,0.71,2,6,0.33,5,13,0.38,5,30,0.17
T. Owen,198328,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,2,3,0.67
R. Barker,209025,1,1,1.00,0,3,0.00,1,3,0.33,2,2,1.00,1,2,0.50,3,7,0.43,2,2,1.00,4,8,0.50
H. Marcus,194112,4,5,0.80,84,151,0.56,32,77,0.42,62,187,0.33,14,16,0.88,30,65,0.46,40,97,0.41,53,160,0.33
D. Carlson,194155,1,1,1.00,183,295,0.62,10,18,0.56,5,10,0.50,8,19,0.42,104,209,0.50,8,18,0.44,5,15,0.33
C. Sager,189268,62,79,0.78,7,16,0.44,28,74,0.38,99,250,0.40,39,53,0.74,12,22,0.55,63,126,0.50,84,215,0.39
G. Hughes,197439,67,89,0.75,16,41,0.39,47,98,0.48,97,287,0.34,18,24,0.75,19,33,0.58,50,118,0.42,88,238,0.37
J. Wing,199667,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,1,1,1.00,1,1,1.00
T. Carrick,196458,8,13,0.62,125,256,0.49,53,109,0.49,41,125,0.33,17,27,0.63,83,160,0.52,24,58,0.41,26,80,0.33
M. Kos,218902,0,0,0.00,61,114,0.54,5,19,0.26,2,8,0.25,15,21,0.71,123,266,0.46,12,22,0.55,12,27,0.44
A. Rhodes,200833,1,1,1.00,44,92,0.48,1,3,0.33,2,4,0.50,27,37,0.73,133,269,0.49,12,23,0.52,6,13,0.46
W. Frye,198678,14,24,0.58,24,63,0.38,53,123,0.43,112,293,0.38,32,39,0.82,31,51,0.61,53,117,0.45,52,159,0.33
F. Rossi,198455,41,66,0.62,16,25,0.64,52,139,0.37,27,75,0.36,32,40,0.80,19,35,0.54,43,112,0.38,45,122,0.37
S. Pellegrino,199213,1,1,1.00,3,4,0.75,9,23,0.39,7,19,0.37,5,10,0.50,1,5,0.20,12,27,0.44,13,32,0.41
K. Charles,208794,23,29,0.79,11,18,0.61,15,40,0.38,42,120,0.35,11,19,0.58,10,24,0.42,41,110,0.37,24,104,0.23
R. Curley,193399,2,2,1.00,10,28,0.36,22,44,0.50,24,62,0.39,4,4,1.00,11,23,0.48,15,44,0.34,14,45,0.31
T. Bailey,205559,15,23,0.65,24,53,0.45,24,58,0.41,14,48,0.29,12,18,0.67,40,78,0.51,23,74,0.31,32,88,0.36
J. Harp,199979,0,0,0.00,6,15,0.40,1,2,0.50,1,2,0.50,1,3,0.33,12,22,0.55,3,5,0.60,1,5,0.20
R. McMillen,206863,1,1,1.00,3,5,0.60,2,3,0.67,1,6,0.17,1,1,1.00,1,1,1.00,4,6,0.67,3,12,0.25
B. Ramsey,195197,20,31,0.65,59,118,0.50,46,121,0.38,45,159,0.28,15,18,0.83,42,70,0.60,43,100,0.43,53,176,0.30
M. Gall,197003,4,4,1.00,49,95,0.52,2,14,0.14,2,7,0.29,4,9,0.44,118,216,0.55,8,21,0.38,8,20,0.40
O. Lysenko,209854,2,2,1.00,114,188,0.61,8,15,0.53,5,10,0.50,13,24,0.54,142,298,0.48,8,18,0.44,12,29,0.41
H. Thomson,211114,29,33,0.88,36,66,0.55,49,123,0.40,145,409,0.35,16,21,0.76,18,33,0.55,56,118,0.47,72,211,0.34
I. Corrigan,193265,43,72,0.60,23,44,0.52,91,185,0.49,68,234,0.29,25,38,0.66,13,23,0.57,54,136,0.40,50,176,0.28
L. Jefferson,209205,1,4,0.25,6,8,0.75,14,32,0.44,31,90,0.34,8,9,0.89,5,7,0.71,23,33,0.70,16,54,0.30
R. Allen,204331,4,7,0.57,2,8,0.25,9,28,0.32,24,52,0.46,13,17,0.76,1,7,0.14,15,34,0.44,21,62,0.34
G. Guenther,205216,1,1,1.00,13,29,0.45,4,9,0.44,4,8,0.50,2,2,1.00,16,27,0.59,4,6,0.67,4,7,0.57
B. Bagley,202621,2,2,1.00,78,128,0.61,9,19,0.47,3,9,0.33,6,11,0.55,102,212,0.48,13,25,0.52,7,21,0.33
Q. Saunders,199491,1,1,1.00,4,8,0.50,6,11,0.55,2,20,0.10,1,1,1.00,3,5,0.60,2,6,0.33,7,16,0.44
C. Leggett,198472,3,5,0.60,17,31,0.55,14,32,0.44,30,65,0.46,4,6,0.67,5,11,0.45,16,42,0.38,23,63,0.37
F. Pellegrini,199438,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,1,1,1.00
J. Durbin,199652,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
W. Hartmann,193811,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Ashley,195360,5,5,1.00,29,72,0.40,26,67,0.39,17,42,0.40,8,11,0.73,7,21,0.33,17,49,0.35,29,63,0.46
B. Hensley,196895,4,6,0.67,216,368,0.59,31,61,0.51,31,77,0.40,13,18,0.72,164,303,0.54,12,27,0.44,12,33,0.36
C. McCall,203550,1,1,1.00,132,230,0.57,12,29,0.41,9,17,0.53,12,26,0.46,169,316,0.53,11,31,0.35,8,19,0.42
A. Horvath,192582,54,70,0.77,23,47,0.49,73,155,0.47,6,15,0.40,19,23,0.83,26,41,0.63,34,108,0.31,52,158,0.33
K. Cottrell,192488,61,82,0.74,11,25,0.44,55,132,0.42,50,136,0.37,41,50,0.82,19,35,0.54,50,119,0.42,49,138,0.36
S. Breen,191000,23,33,0.70,5,8,0.62,29,71,0.41,0,1,0.00,7,11,0.64,4,7,0.57,11,39,0.28,16,43,0.37
K. Alicea,196532,0,0,0.00,1,3,0.33,1,4,0.25,0,3,0.00,0,0,0.00,4,10,0.40,3,4,0.75,1,5,0.20
R. Perry,198038,6,7,0.86,40,85,0.47,50,117,0.43,82,228,0.36,15,19,0.79,43,64,0.67,61,133,0.46,42,137,0.31
B. Barlow,206806,0,0,0.00,59,95,0.62,7,14,0.50,3,11,0.27,6,10,0.60,88,198,0.44,9,15,0.60,1,10,0.10
V. Chastain,196248,1,1,1.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
R. Murray,218018,0,0,0.00,0,0,0.00,1,1,1.00,0,1,0.00,0,0,0.00,1,3,0.33,1,1,1.00,0,0,0.00
C. Hart,201313,2,2,1.00,0,1,0.00,3,5,0.60,0,0,0.00,2,2,1.00,1,2,0.50,2,2,1.00,1,5,0.20
H. Thiel,194909,17,28,0.61,49,99,0.49,47,96,0.49,74,201,0.37,2,4,0.50,27,55,0.49,61,145,0.42,67,208,0.32
B. McDonald,188982,5,7,0.71,154,271,0.57,37,66,0.56,13,35,0.37,17,28,0.61,115,264,0.44,16,42,0.38,8,44,0.18
O. Roberts,188133,7,10,0.70,117,237,0.49,14,42,0.33,7,20,0.35,11,24,0.46,151,267,0.57,24,43,0.56,20,39,0.51
R. Rider,189987,34,42,0.81,24,38,0.63,38,99,0.38,76,225,0.34,23,27,0.85,23,40,0.57,48,128,0.38,64,206,0.31
J. Breeden,196876,96,129,0.74,26,43,0.60,89,213,0.42,52,143,0.36,35,42,0.83,17,35,0.49,46,122,0.38,78,234,0.33
A. Sandoval,194844,24,32,0.75,12,24,0.50,21,57,0.37,27,93,0.29,9,9,1.00,11,24,0.46,32,67,0.48,26,74,0.35
D. Palmer,187772,2,2,1.00,66,125,0.53,11,16,0.69,5,9,0.56,8,14,0.57,61,122,0.50,10,18,0.56,3,10,0.30
R. Wagner,201705,1,2,0.50,14,28,0.50,0,2,0.00,6,9,0.67,3,3,1.00,11,21,0.52,1,2,0.50,1,1,1.00
J. Richey,192391,3,3,1.00,14,21,0.67,10,25,0.40,20,47,0.43,3,3,1.00,11,18,0.61,14,34,0.41,15,59,0.25
T. Howell,199020,2,2,1.00,22,42,0.52,4,17,0.24,8,22,0.36,5,7,0.71,46,65,0.71,9,16,0.56,9,30,0.30
D. Pietrzak,203177,2,2,1.00,1,2,0.50,2,7,0.29,3,9,0.33,0,0,0.00,0,2,0.00,2,4,0.50,1,6,0.17
B. Tarantino,209008,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,1,2,0.50,1,1,1.00
