Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Berg,203330,0,0,0.00,110,184,0.60,2,5,0.40,0,2,0.00,5,7,0.71
Hubbard,205561,1,2,0.50,0,0,0.00,1,2,0.50,2,5,0.40,0,0,0.00
Navarro,198444,8,10,0.80,110,170,0.65,39,74,0.53,26,76,0.34,22,56,0.39
Eaton,196140,1,2,0.50,267,418,0.64,9,25,0.36,0,0,0.00,10,21,0.48
Molina,196531,3,3,1.00,176,294,0.60,4,8,0.50,1,2,0.50,16,31,0.52
Chavez,195037,25,30,0.83,47,81,0.58,60,122,0.49,156,450,0.35,27,63,0.43
Olsen,192454,50,65,0.77,12,31,0.39,94,174,0.54,88,252,0.35,157,336,0.47
Dobbins,207918,3,3,1.00,3,5,0.60,7,13,0.54,3,12,0.25,2,4,0.50
Turner,192227,25,31,0.81,15,27,0.56,31,60,0.52,78,253,0.31,31,60,0.52
Abercrombie,192351,6,9,0.67,34,65,0.52,27,60,0.45,46,115,0.40,17,44,0.39
Yancey,192510,0,0,0.00,5,10,0.50,6,8,0.75,6,10,0.60,1,3,0.33
Curley,209345,0,0,0.00,7,9,0.78,0,0,0.00,0,0,0.00,0,1,0.00
Bradshaw,195509,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
Lemon,207373,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Franco,196095,22,31,0.71,50,88,0.57,25,64,0.39,41,134,0.31,59,123,0.48
Ross,192007,0,5,0.00,135,217,0.62,16,33,0.48,13,29,0.45,12,22,0.55
Adkins,192592,2,3,0.67,169,264,0.64,4,13,0.31,8,24,0.33,2,7,0.29
Barnett,205714,46,63,0.73,7,11,0.64,28,96,0.29,19,59,0.32,133,279,0.48
Crowder,198550,71,90,0.79,37,64,0.58,61,148,0.41,53,183,0.29,168,350,0.48
Richmond,209049,1,1,1.00,13,24,0.54,2,4,0.50,2,4,0.50,2,4,0.50
Blair,190905,4,4,1.00,85,130,0.65,33,68,0.49,58,165,0.35,5,17,0.29
Mack,209469,5,5,1.00,3,5,0.60,12,24,0.50,6,12,0.50,5,25,0.20
Alexander,204743,5,5,1.00,28,58,0.48,8,32,0.25,35,77,0.45,16,27,0.59
Tucker,198403,0,2,0.00,194,334,0.58,15,22,0.68,8,23,0.35,7,9,0.78
Troyer,207598,0,0,0.00,3,11,0.27,2,4,0.50,1,3,0.33,0,2,0.00
Cameron,187862,6,6,1.00,29,60,0.48,21,58,0.36,39,102,0.38,9,17,0.53
Munoz,194241,14,19,0.74,180,294,0.61,14,33,0.42,23,45,0.51,38,87,0.44
Snyder,188680,2,6,0.33,227,370,0.61,10,16,0.62,0,1,0.00,15,27,0.56
Browne,205473,58,66,0.88,23,55,0.42,64,132,0.48,92,286,0.32,35,86,0.41
Bergstrom,196152,50,87,0.57,9,16,0.56,44,116,0.38,69,187,0.37,174,381,0.46
McNamara,197134,20,31,0.65,4,6,0.67,19,50,0.38,8,32,0.25,56,124,0.45
Bos,206394,0,3,0.00,112,203,0.55,8,17,0.47,1,4,0.25,11,22,0.50
Lankford,194565,6,6,1.00,40,76,0.53,13,26,0.50,15,37,0.41,8,11,0.73
Moody,201469,16,21,0.76,15,32,0.47,21,53,0.40,42,122,0.34,15,30,0.50
Mellberg,202992,0,0,0.00,18,26,0.69,4,21,0.19,6,27,0.22,2,6,0.33
Kurtz,208068,0,0,0.00,3,7,0.43,0,0,0.00,0,0,0.00,0,1,0.00
Bishop,202363,1,3,0.33,18,34,0.53,24,46,0.52,24,59,0.41,10,14,0.71
Dimovski,216098,0,0,0.00,3,6,0.50,2,6,0.33,1,3,0.33,0,2,0.00
Baldwin,198483,0,0,0.00,81,142,0.57,2,6,0.33,2,4,0.50,4,12,0.33
Owens,193569,29,39,0.74,139,231,0.60,58,116,0.50,117,300,0.39,74,144,0.51
Hui,196434,13,15,0.87,6,10,0.60,11,30,0.37,16,41,0.39,17,42,0.40
Sands,189084,49,77,0.64,36,58,0.62,112,248,0.45,3,14,0.21,161,327,0.49
Venturi,195317,6,7,0.86,141,244,0.58,30,63,0.48,14,30,0.47,21,42,0.50
Waugh,208291,0,0,0.00,10,20,0.50,0,0,0.00,0,2,0.00,0,2,0.00
Tucker,200053,18,23,0.78,51,97,0.53,58,125,0.46,90,268,0.34,30,74,0.41
Erickson,208507,1,1,1.00,1,1,1.00,2,2,1.00,4,7,0.57,0,0,0.00
Robinson,198979,1,1,1.00,0,0,0.00,0,1,0.00,1,4,0.25,0,3,0.00
Robison,194054,24,41,0.59,23,48,0.48,32,73,0.44,63,180,0.35,65,134,0.49
Herzog,192576,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Grant,196637,28,36,0.78,52,104,0.50,69,133,0.52,88,228,0.39,66,137,0.48
Jablonski,197809,2,3,0.67,135,241,0.56,19,41,0.46,20,49,0.41,8,17,0.47
Esposito,194369,0,0,0.00,140,309,0.45,14,23,0.61,7,27,0.26,6,13,0.46
Mullins,195017,56,72,0.78,24,48,0.50,91,169,0.54,107,274,0.39,168,376,0.45
Elrod,200807,22,27,0.81,9,16,0.56,34,92,0.37,57,157,0.36,37,80,0.46
Glenn,208035,0,0,0.00,25,79,0.32,18,31,0.58,8,23,0.35,3,15,0.20
Martin,197120,3,5,0.60,42,93,0.45,13,25,0.52,5,10,0.50,11,35,0.31
Holton,197559,10,12,0.83,22,38,0.58,23,62,0.37,27,82,0.33,34,66,0.52
Chavarria,202117,6,11,0.55,4,9,0.44,14,30,0.47,11,43,0.26,6,26,0.23
Cooper,189605,37,52,0.71,40,91,0.44,43,104,0.41,69,193,0.36,128,287,0.45
Palmer,195699,1,1,1.00,172,295,0.58,10,21,0.48,10,20,0.50,3,11,0.27
Whitehead,202859,8,9,0.89,135,207,0.65,10,28,0.36,8,19,0.42,38,64,0.59
Douglas,197336,40,52,0.77,42,74,0.57,49,119,0.41,136,309,0.44,80,189,0.42
Wright,198305,80,109,0.73,10,18,0.56,71,172,0.41,54,145,0.37,290,594,0.49
Gilmore,202726,0,1,0.00,0,0,0.00,0,1,0.00,1,4,0.25,2,3,0.67
Colonna,211546,14,22,0.64,79,136,0.58,26,51,0.51,16,47,0.34,24,45,0.53
Spangler,206543,1,1,1.00,2,4,0.50,1,2,0.50,3,5,0.60,0,0,0.00
Doll,190545,22,28,0.79,27,42,0.64,38,92,0.41,1,3,0.33,37,84,0.44
Cleveland,204456,12,13,0.92,4,8,0.50,6,17,0.35,4,14,0.29,4,8,0.50
Destrade,216042,0,0,0.00,1,1,1.00,0,0,0.00,0,2,0.00,0,0,0.00
Whittle,220586,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
Paige,210141,0,0,0.00,0,0,0.00,0,0,0.00,0,2,0.00,1,2,0.50
McCoy,210096,1,1,1.00,1,1,1.00,1,3,0.33,3,7,0.43,0,1,0.00
Brown,208579,2,2,1.00,3,4,0.75,1,6,0.17,4,10,0.40,1,1,1.00
Linn,205709,0,0,0.00,44,73,0.60,1,2,0.50,0,2,0.00,0,4,0.00
Gibbs,198997,0,0,0.00,45,75,0.60,2,5,0.40,4,9,0.44,0,5,0.00
Rogers,202428,4,7,0.57,1,6,0.17,3,13,0.23,12,40,0.30,8,17,0.47
Sheridan,197989,3,4,0.75,6,12,0.50,5,12,0.42,13,32,0.41,1,5,0.20
Burger,209874,0,0,0.00,2,2,1.00,0,0,0.00,0,1,0.00,0,0,0.00
Walton,199607,10,11,0.91,7,12,0.58,12,29,0.41,36,82,0.44,17,43,0.40
Grantham,200290,55,82,0.67,2,5,0.40,34,89,0.38,37,95,0.39,214,437,0.49
Galindo,192372,2,3,0.67,229,356,0.64,16,32,0.50,14,41,0.34,9,28,0.32
Russell,209226,13,18,0.72,5,8,0.62,5,25,0.20,11,38,0.29,11,23,0.48
Lyman,188468,9,10,0.90,51,83,0.61,37,59,0.63,90,223,0.40,3,12,0.25
Gay,203089,2,4,0.50,47,93,0.51,23,45,0.51,28,108,0.26,7,13,0.54
Brockman,205261,0,0,0.00,44,85,0.52,10,21,0.48,2,8,0.25,3,7,0.43
Godwin,193907,3,8,0.38,99,207,0.48,5,19,0.26,1,3,0.33,16,26,0.62
Archuleta,202031,17,22,0.77,26,47,0.55,23,73,0.32,58,179,0.32,28,62,0.45
Ross,192324,66,99,0.67,12,27,0.44,71,173,0.41,71,195,0.36,303,614,0.49
Blanco,203720,0,0,0.00,7,13,0.54,6,15,0.40,6,29,0.21,1,10,0.10
Langley,194777,14,18,0.78,15,27,0.56,18,50,0.36,32,108,0.30,25,49,0.51
Wilburn,209759,10,15,0.67,7,12,0.58,21,55,0.38,28,90,0.31,13,32,0.41
Lane,192796,0,0,0.00,0,1,0.00,1,2,0.50,1,2,0.50,0,4,0.00
Hood,193249,4,6,0.67,224,341,0.66,16,47,0.34,8,19,0.42,8,15,0.53
Spahn,206763,2,3,0.67,24,45,0.53,3,12,0.25,2,12,0.17,10,17,0.59
Dixon,201451,1,1,1.00,1,4,0.25,2,3,0.67,2,13,0.15,1,4,0.25
Watt,201523,0,0,0.00,0,1,0.00,0,1,0.00,0,0,0.00,0,0,0.00
Schulz,206059,0,0,0.00,0,5,0.00,0,0,0.00,0,2,0.00,0,0,0.00
Egawa,205773,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Middleton,208117,0,1,0.00,8,11,0.73,0,4,0.00,5,11,0.45,0,0,0.00
Zamora,197580,33,46,0.72,14,32,0.44,22,65,0.34,59,170,0.35,75,157,0.48
Sweat,200561,4,4,1.00,224,406,0.55,14,29,0.48,4,8,0.50,5,11,0.45
Warren,192856,3,5,0.60,137,250,0.55,2,7,0.29,1,8,0.12,10,26,0.38
Douglas,196958,10,12,0.83,72,132,0.55,42,88,0.48,136,328,0.41,9,20,0.45
Moody,193364,48,57,0.84,26,42,0.62,71,131,0.54,70,201,0.35,72,142,0.51
Kane,200743,13,20,0.65,3,8,0.38,5,17,0.29,20,56,0.36,7,20,0.35
Alcala,201929,1,1,1.00,35,67,0.52,11,27,0.41,6,14,0.43,3,10,0.30
Wallace,210010,18,21,0.86,38,70,0.54,41,89,0.46,58,160,0.36,28,63,0.44
Yoder,200005,0,0,0.00,6,10,0.60,1,5,0.20,1,4,0.25,4,7,0.57
Ziegler,203566,8,13,0.62,2,4,0.50,8,18,0.44,7,21,0.33,6,14,0.43
Searcy,205276,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Flynn,192823,24,33,0.73,31,82,0.38,31,90,0.34,56,168,0.33,87,193,0.45
Jamison,209460,1,3,0.33,117,260,0.45,26,72,0.36,22,58,0.38,9,19,0.47
Hampton,198984,1,1,1.00,240,399,0.60,16,38,0.42,15,32,0.47,4,12,0.33
Gross,201085,85,116,0.73,17,44,0.39,58,138,0.42,81,223,0.36,173,362,0.48
Elliott,201953,32,46,0.70,11,17,0.65,36,90,0.40,87,238,0.37,41,99,0.41
Parker,201263,1,3,0.33,3,7,0.43,6,23,0.26,11,34,0.32,6,15,0.40
Stearns,203591,2,5,0.40,40,74,0.54,7,14,0.50,0,2,0.00,11,16,0.69
Ellsworth,203749,12,14,0.86,5,15,0.33,9,23,0.39,38,126,0.30,1,3,0.33
Herrmann,199900,2,2,1.00,25,43,0.58,6,22,0.27,0,3,0.00,3,5,0.60
Cole,204723,0,0,0.00,44,100,0.44,2,4,0.50,1,5,0.20,1,8,0.12
Sullivan,205298,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Weatherspoon,195264,21,32,0.66,45,104,0.43,39,96,0.41,61,180,0.34,76,136,0.56
Jeffries,205122,2,3,0.67,94,202,0.47,25,51,0.49,13,39,0.33,8,14,0.57
Greco,194051,1,2,0.50,211,361,0.58,4,17,0.24,1,8,0.12,6,17,0.35
Roman,199359,29,38,0.76,28,48,0.58,35,85,0.41,63,211,0.30,30,64,0.47
Morales,193756,48,64,0.75,13,33,0.39,71,156,0.46,61,170,0.36,167,374,0.45
Barlow,199032,17,22,0.77,6,13,0.46,2,31,0.06,17,52,0.33,55,113,0.49
Doyle,197589,2,3,0.67,34,74,0.46,4,8,0.50,0,1,0.00,5,10,0.50
Turk,197929,2,2,1.00,12,26,0.46,11,29,0.38,21,56,0.38,1,4,0.25
Sowell,196329,13,17,0.76,7,15,0.47,12,31,0.39,12,53,0.23,34,55,0.62
Mays,193841,1,2,0.50,25,57,0.44,7,15,0.47,4,11,0.36,10,17,0.59
Riley,197729,2,3,0.67,1,3,0.33,4,11,0.36,3,17,0.18,1,2,0.50
Bankhead,208659,0,1,0.00,5,13,0.38,3,4,0.75,1,3,0.33,1,1,1.00
Faulkner,205318,5,5,1.00,56,95,0.59,27,71,0.38,44,125,0.35,8,22,0.36
Fugate,192190,8,18,0.44,84,194,0.43,17,33,0.52,6,21,0.29,55,105,0.52
Bernard,205166,2,3,0.67,340,551,0.62,7,19,0.37,0,1,0.00,12,28,0.43
Clark,214566,35,47,0.74,32,47,0.68,32,91,0.35,64,172,0.37,56,112,0.50
Coughlin,195359,4,6,0.67,49,99,0.49,51,113,0.45,68,233,0.29,5,16,0.31
Sibley,198977,4,5,0.80,204,376,0.54,20,36,0.56,17,55,0.31,8,20,0.40
Kidd,193142,1,4,0.25,125,211,0.59,10,28,0.36,3,7,0.43,12,32,0.38
Cushman,205797,22,33,0.67,21,43,0.49,58,125,0.46,73,212,0.34,33,68,0.49
Gamberini,199627,43,49,0.88,10,23,0.43,65,122,0.53,122,308,0.40,116,260,0.45
Broderick,199372,29,45,0.64,12,20,0.60,20,51,0.39,21,48,0.44,121,224,0.54
Schwartz,203675,0,0,0.00,22,51,0.43,2,9,0.22,0,2,0.00,1,3,0.33
Barbour,197534,1,3,0.33,99,143,0.69,1,7,0.14,4,13,0.31,4,12,0.33
Wechsler,210124,2,2,1.00,17,31,0.55,12,22,0.55,9,38,0.24,2,5,0.40
Van,202278,1,3,0.33,3,7,0.43,3,10,0.30,8,13,0.62,1,3,0.33
Griffin,196221,1,3,0.33,0,0,0.00,2,5,0.40,2,4,0.50,8,16,0.50
Harrell,197699,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
House,194182,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Gaines,209046,1,3,0.33,84,169,0.50,27,61,0.44,17,58,0.29,10,19,0.53
Bachman,199908,16,23,0.70,91,193,0.47,19,48,0.40,7,29,0.24,71,143,0.50
Barnhill,208406,1,2,0.50,107,201,0.53,15,25,0.60,3,27,0.11,8,16,0.50
Tate,206464,23,29,0.79,18,51,0.35,43,116,0.37,93,271,0.34,9,22,0.41
Jay,208325,18,28,0.64,39,77,0.51,58,135,0.43,67,210,0.32,63,149,0.42
Reilly,210109,0,0,0.00,2,2,1.00,0,0,0.00,1,3,0.33,0,0,0.00
Proctor,210256,0,0,0.00,15,27,0.56,1,9,0.11,1,8,0.12,3,4,0.75
Atkinson,198499,1,1,1.00,3,8,0.38,5,11,0.45,0,1,0.00,2,3,0.67
Moore,203011,7,8,0.88,4,9,0.44,9,36,0.25,3,9,0.33,4,12,0.33
Zeller,197181,25,33,0.76,11,33,0.33,35,90,0.39,61,184,0.33,25,53,0.47
McCall,210098,0,0,0.00,0,0,0.00,0,2,0.00,0,2,0.00,0,0,0.00
Carson,206164,2,2,1.00,6,11,0.55,7,14,0.50,12,32,0.38,6,15,0.40
Cook,196012,3,4,0.75,23,42,0.55,30,54,0.56,29,92,0.32,13,21,0.62
Irwin,204428,1,1,1.00,73,130,0.56,3,11,0.27,0,3,0.00,2,5,0.40
Gray,201727,4,4,1.00,51,87,0.59,9,26,0.35,1,11,0.09,6,16,0.38
Richardson,201019,36,50,0.72,21,30,0.70,34,93,0.37,84,258,0.33,126,263,0.48
Houser,208501,1,1,1.00,3,4,0.75,3,4,0.75,4,12,0.33,1,4,0.25
Jacoby,188580,38,51,0.75,39,59,0.66,35,90,0.39,124,360,0.34,72,140,0.51
Wray,191485,2,2,1.00,239,360,0.66,8,15,0.53,0,0,0.00,4,11,0.36
Madsen,191593,1,1,1.00,81,132,0.61,19,36,0.53,2,6,0.33,4,10,0.40
McMillan,208240,1,1,1.00,2,3,0.67,4,7,0.57,10,29,0.34,0,2,0.00
Lawson,200721,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Ogden,199271,15,22,0.68,2,5,0.40,10,27,0.37,29,75,0.39,36,62,0.58
Ferrara,206925,3,3,1.00,0,3,0.00,2,5,0.40,1,3,0.33,1,1,1.00
Bianco,193300,12,12,1.00,52,101,0.51,50,97,0.52,145,356,0.41,8,21,0.38
Clark,197077,4,9,0.44,6,12,0.50,5,15,0.33,9,37,0.24,4,7,0.57
Mayo,204444,5,6,0.83,17,31,0.55,6,19,0.32,7,34,0.21,10,22,0.45
Seymour,195041,7,12,0.58,157,291,0.54,26,67,0.39,11,29,0.38,28,61,0.46
Barbosa,197360,0,0,0.00,67,143,0.47,5,15,0.33,3,14,0.21,5,8,0.62
Fiori,194977,85,141,0.60,19,37,0.51,81,188,0.43,90,222,0.41,373,744,0.50
Hammer,194869,19,24,0.79,15,24,0.62,17,52,0.33,27,72,0.38,56,111,0.50
Peck,197288,0,0,0.00,153,262,0.58,4,14,0.29,2,9,0.22,2,11,0.18
Pritchard,198108,59,76,0.78,54,91,0.59,46,144,0.32,58,151,0.38,134,266,0.50
Collins,209692,22,26,0.85,14,32,0.44,38,88,0.43,45,146,0.31,27,57,0.47
Henderson,204423,1,2,0.50,1,3,0.33,5,8,0.62,3,8,0.38,1,2,0.50
Whyte,206749,12,16,0.75,57,126,0.45,42,83,0.51,43,139,0.31,28,55,0.51
West,209868,0,0,0.00,1,1,1.00,0,2,0.00,0,1,0.00,0,0,0.00
McDonough,194863,1,1,1.00,0,0,0.00,2,4,0.50,1,4,0.25,0,1,0.00
Wadsworth,206064,0,0,0.00,0,1,0.00,0,0,0.00,0,2,0.00,0,0,0.00
Jenkins,196226,9,11,0.82,46,102,0.45,38,88,0.43,50,179,0.28,25,58,0.43
Pinto,200921,0,0,0.00,32,75,0.43,14,29,0.48,12,42,0.29,3,10,0.30
Glick,203047,3,4,0.75,84,182,0.46,11,25,0.44,2,13,0.15,7,24,0.29
Wynne,193462,47,66,0.71,20,35,0.57,47,129,0.36,53,172,0.31,107,245,0.44
Kelly,193257,34,42,0.81,26,52,0.50,32,75,0.43,79,217,0.36,95,214,0.44
Neill,201396,3,3,1.00,17,31,0.55,12,42,0.29,16,56,0.29,7,13,0.54
Nevarez,206766,0,0,0.00,14,32,0.44,0,4,0.00,0,1,0.00,0,2,0.00
Hahn,202085,10,13,0.77,0,9,0.00,12,41,0.29,30,95,0.32,14,32,0.44
Gentry,209207,0,0,0.00,130,255,0.51,21,42,0.50,12,40,0.30,5,20,0.25
Cole,193147,0,0,0.00,6,10,0.60,4,11,0.36,5,16,0.31,0,3,0.00
Richey,204483,0,1,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Moeller,208663,0,0,0.00,0,0,0.00,1,1,1.00,1,1,1.00,1,1,1.00
Bellomo,196306,0,0,0.00,5,8,0.62,2,13,0.15,1,8,0.12,1,3,0.33
Kline,202966,6,6,1.00,138,284,0.49,33,77,0.43,31,107,0.29,10,22,0.45
Sam,199863,9,13,0.69,72,131,0.55,13,27,0.48,8,40,0.20,18,41,0.44
Cain,198672,1,5,0.20,117,198,0.59,15,27,0.56,11,21,0.52,16,33,0.48
Thigpen,204539,10,13,0.77,4,10,0.40,15,39,0.38,16,54,0.30,30,55,0.55
Copeland,196000,17,21,0.81,18,31,0.58,51,97,0.53,118,328,0.36,23,51,0.45
Buchanan,200088,3,4,0.75,1,1,1.00,0,7,0.00,4,12,0.33,2,7,0.29
Adams,196832,3,4,0.75,11,25,0.44,8,21,0.38,15,55,0.27,8,20,0.40
Santamaria,206459,1,1,1.00,19,38,0.50,5,16,0.31,3,10,0.30,4,6,0.67
Workman,197110,9,9,1.00,21,35,0.60,19,49,0.39,41,142,0.29,9,14,0.64
Fiori,197564,4,7,0.57,4,7,0.57,3,14,0.21,13,38,0.34,3,6,0.50
Ruby,204914,14,17,0.82,11,18,0.61,15,40,0.38,31,90,0.34,29,50,0.58
Flanagan,202013,0,0,0.00,0,1,0.00,0,2,0.00,1,2,0.50,0,0,0.00
Bryan,193078,0,0,0.00,1,3,0.33,0,0,0.00,0,1,0.00,0,0,0.00
Akins,207163,0,0,0.00,3,9,0.33,2,7,0.29,0,7,0.00,0,1,0.00
Haynes,202097,4,5,0.80,4,6,0.67,3,5,0.60,6,17,0.35,6,7,0.86
Robinson,205745,15,20,0.75,12,22,0.55,21,45,0.47,17,51,0.33,27,56,0.48
Campbell,216706,0,0,0.00,7,12,0.58,1,2,0.50,1,2,0.50,0,0,0.00
Owens,206447,11,16,0.69,5,8,0.62,13,32,0.41,24,73,0.33,15,38,0.39
Benedict,195623,50,65,0.77,10,19,0.53,47,108,0.44,41,113,0.36,174,359,0.48
Aldrich,190955,1,1,1.00,183,270,0.68,9,21,0.43,11,24,0.46,6,10,0.60
Israel,199619,2,2,1.00,36,65,0.55,13,29,0.45,23,68,0.34,1,5,0.20
Webb,193655,1,1,1.00,95,165,0.58,16,39,0.41,7,15,0.47,4,13,0.31
Pease,191417,14,17,0.82,53,109,0.49,63,124,0.51,94,242,0.39,30,74,0.41
Scott,196340,34,42,0.81,30,50,0.60,77,141,0.55,106,320,0.33,28,72,0.39
Alba,197200,4,4,1.00,6,12,0.50,6,20,0.30,14,35,0.40,17,42,0.40
Prescott,206013,0,0,0.00,11,25,0.44,1,4,0.25,0,2,0.00,0,1,0.00
Jeter,201280,1,1,1.00,14,32,0.44,2,3,0.67,1,2,0.50,3,6,0.50
Doyle,198600,13,18,0.72,7,12,0.58,8,29,0.28,14,56,0.25,33,56,0.59
Dunne,204134,17,19,0.89,4,10,0.40,12,27,0.44,15,55,0.27,12,27,0.44
Kennedy,194404,53,71,0.75,24,40,0.60,43,98,0.44,110,304,0.36,85,177,0.48
Eads,209618,13,15,0.87,42,81,0.52,12,39,0.31,35,108,0.32,10,25,0.40
