Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Clymer,193127,8,13,0.62,74,130,0.57,60,113,0.53,105,244,0.43,35,78,0.45
Stanton,213950,1,1,1.00,17,32,0.53,5,9,0.56,11,22,0.50,0,2,0.00
Hubbard,204945,0,1,0.00,191,313,0.61,5,13,0.38,0,0,0.00,6,17,0.35
Cox,196338,20,29,0.69,9,13,0.69,18,38,0.47,38,83,0.46,44,92,0.48
Carpenter,202565,10,15,0.67,7,9,0.78,14,33,0.42,4,7,0.57,22,42,0.52
Parks,197766,2,6,0.33,530,905,0.59,34,100,0.34,6,15,0.40,11,40,0.28
Rider,191345,50,78,0.64,4,10,0.40,59,170,0.35,5,10,0.50,202,381,0.53
Tekin,209670,3,3,1.00,84,145,0.58,11,27,0.41,0,2,0.00,4,9,0.44
Cushman,210011,2,2,1.00,3,4,0.75,2,3,0.67,2,8,0.25,0,2,0.00
Basile,196505,31,50,0.62,19,33,0.58,21,54,0.39,73,186,0.39,35,66,0.53
Krueger,209265,2,2,1.00,13,19,0.68,0,1,0.00,0,0,0.00,2,3,0.67
Hummel,209700,0,0,0.00,0,0,0.00,1,2,0.50,0,0,0.00,0,1,0.00
Caldwell,193428,8,14,0.57,45,90,0.50,47,105,0.45,108,251,0.43,34,79,0.43
Howland,193585,1,1,1.00,112,220,0.51,26,60,0.43,6,20,0.30,4,20,0.20
Barker,193376,0,0,0.00,127,219,0.58,7,18,0.39,9,17,0.53,3,8,0.38
Street,193973,16,22,0.73,20,34,0.59,19,51,0.37,43,133,0.32,14,40,0.35
Gentry,194044,45,55,0.82,18,31,0.58,41,81,0.51,85,198,0.43,128,283,0.45
Parker,193072,32,37,0.86,23,44,0.52,27,65,0.42,89,235,0.38,28,59,0.47
Bradley,201768,2,2,1.00,80,132,0.61,4,10,0.40,3,13,0.23,3,6,0.50
Harrell,207616,10,11,0.91,5,7,0.71,10,31,0.32,20,70,0.29,1,6,0.17
Loua,212346,2,4,0.50,46,69,0.67,7,18,0.39,1,10,0.10,8,21,0.38
Jefferson,199144,24,33,0.73,10,17,0.59,20,69,0.29,40,96,0.42,87,194,0.45
Glass,210065,0,0,0.00,2,3,0.67,0,0,0.00,2,5,0.40,0,1,0.00
Kellogg,209076,0,0,0.00,18,38,0.47,2,3,0.67,0,1,0.00,1,2,0.50
Teague,199663,1,2,0.50,10,14,0.71,0,0,0.00,3,10,0.30,2,2,1.00
Temple,190152,10,21,0.48,48,91,0.53,32,73,0.44,61,141,0.43,36,78,0.46
Binder,189200,2,2,1.00,175,273,0.64,9,30,0.30,6,16,0.38,9,17,0.53
Strong,196862,0,0,0.00,162,293,0.55,20,42,0.48,2,9,0.22,3,4,0.75
Spurlock,190065,42,57,0.74,24,43,0.56,42,112,0.38,86,230,0.37,60,145,0.41
Foster,195389,37,49,0.76,22,33,0.67,50,126,0.40,53,151,0.35,103,218,0.47
Holton,199631,7,10,0.70,16,41,0.39,15,34,0.44,43,97,0.44,22,51,0.43
Skidmore,195536,26,28,0.93,11,18,0.61,28,65,0.43,30,79,0.38,23,69,0.33
Libby,202145,7,9,0.78,7,9,0.78,9,15,0.60,14,46,0.30,12,19,0.63
Porter,196932,1,2,0.50,142,204,0.70,3,14,0.21,0,2,0.00,2,6,0.33
Vickers,203069,1,2,0.50,76,136,0.56,8,30,0.27,6,12,0.50,6,14,0.43
Benner,194419,19,24,0.79,42,80,0.53,38,90,0.42,47,143,0.33,32,68,0.47
Hines,197335,0,1,0.00,157,276,0.57,13,43,0.30,10,31,0.32,7,10,0.70
Weston,193097,2,3,0.67,188,310,0.61,12,41,0.29,7,29,0.24,9,22,0.41
Perdomo,204759,37,45,0.82,31,53,0.58,42,111,0.38,62,197,0.31,36,81,0.44
Hunter,195732,45,63,0.71,16,22,0.73,55,126,0.44,89,230,0.39,116,260,0.45
Graham,197197,0,0,0.00,7,9,0.78,2,4,0.50,0,1,0.00,0,2,0.00
Owens,198668,0,0,0.00,1,3,0.33,1,2,0.50,5,10,0.50,1,3,0.33
Summers,205639,2,2,1.00,85,159,0.53,10,19,0.53,9,23,0.39,11,22,0.50
Brockman,200648,30,38,0.79,16,20,0.80,19,49,0.39,34,113,0.30,60,115,0.52
Ogden,205698,0,0,0.00,2,5,0.40,0,1,0.00,0,1,0.00,0,0,0.00
Serrano,209362,0,1,0.00,7,13,0.54,1,6,0.17,7,24,0.29,2,2,1.00
Dorman,198112,15,22,0.68,3,6,0.50,18,36,0.50,4,20,0.20,69,129,0.53
Galloway,203339,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
McKenna,208170,3,5,0.60,47,73,0.64,26,52,0.50,46,124,0.37,15,38,0.39
Martinez,188019,4,5,0.80,119,205,0.58,53,103,0.51,127,287,0.44,10,20,0.50
Reid,191234,0,0,0.00,107,168,0.64,1,2,0.50,1,6,0.17,1,6,0.17
Miller,192817,85,100,0.85,52,92,0.57,79,155,0.51,157,434,0.36,104,200,0.52
Babb,187989,41,50,0.82,35,61,0.57,65,139,0.47,154,430,0.36,50,107,0.47
Smith,201012,23,32,0.72,7,10,0.70,15,42,0.36,19,52,0.37,51,93,0.55
Kovac,212978,1,1,1.00,2,4,0.50,4,6,0.67,3,6,0.50,1,2,0.50
Clarke,192156,0,0,0.00,15,34,0.44,5,23,0.22,25,61,0.41,4,16,0.25
