Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Cameron,187862,16,18,0.89,7,19,0.37,16,39,0.41,16,66,0.24,14,29,0.48
Proietti,188011,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Santini,188371,6,7,0.86,0,0,0.00,1,2,0.50,0,2,0.00,1,3,0.33
Spence,196075,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
Rader,182959,5,7,0.71,62,121,0.51,35,77,0.45,69,205,0.34,36,78,0.46
Brown,186055,3,4,0.75,158,319,0.50,35,80,0.44,36,104,0.35,10,25,0.40
Hackett,189372,1,3,0.33,133,216,0.62,25,45,0.56,10,40,0.25,11,24,0.46
McLean,186073,23,31,0.74,9,18,0.50,19,67,0.28,44,142,0.31,49,103,0.48
Sands,189084,41,60,0.68,16,27,0.59,75,167,0.45,13,49,0.27,115,269,0.43
Owens,193569,26,33,0.79,68,125,0.54,44,105,0.42,105,320,0.33,41,94,0.44
Tucker,200053,10,13,0.77,16,32,0.50,24,53,0.45,29,104,0.28,7,16,0.44
Venturi,195317,1,1,1.00,63,117,0.54,3,6,0.50,3,3,1.00,3,10,0.30
Robison,194054,5,8,0.62,6,14,0.43,8,19,0.42,15,46,0.33,13,22,0.59
Hui,196434,3,3,1.00,0,1,0.00,0,0,0.00,1,9,0.11,2,3,0.67
Robinson,198979,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
Lopez,190753,12,16,0.75,30,67,0.45,36,84,0.43,59,150,0.39,33,80,0.41
Quick,186429,6,6,1.00,101,217,0.47,33,54,0.61,18,43,0.42,20,34,0.59
Esposito,194369,1,2,0.50,117,221,0.53,5,22,0.23,3,15,0.20,6,13,0.46
Pierre,187580,25,29,0.86,38,69,0.55,52,124,0.42,92,234,0.39,31,70,0.44
Edwards,184846,57,98,0.58,9,21,0.43,77,172,0.45,61,142,0.43,234,502,0.47
Jablonski,197809,3,3,1.00,39,82,0.48,9,21,0.43,14,46,0.30,1,11,0.09
Martin,197120,0,0,0.00,39,90,0.43,7,13,0.54,4,7,0.57,1,7,0.14
Grant,196637,7,9,0.78,11,25,0.44,25,48,0.52,30,84,0.36,12,28,0.43
Mullins,195017,8,14,0.57,10,23,0.43,18,45,0.40,25,55,0.45,46,101,0.46
McCoy,187901,3,4,0.75,0,2,0.00,3,10,0.30,2,8,0.25,7,11,0.64
Rogers,189646,10,16,0.62,17,43,0.40,21,67,0.31,29,91,0.32,42,80,0.53
Palmer,195699,2,2,1.00,165,336,0.49,22,45,0.49,21,52,0.40,4,16,0.25
Ruby,186463,5,5,1.00,177,309,0.57,13,35,0.37,9,34,0.26,14,42,0.33
Cooper,189605,43,62,0.69,14,30,0.47,23,80,0.29,28,112,0.25,86,195,0.44
Courtney,191755,15,20,0.75,10,26,0.38,27,72,0.38,49,127,0.39,29,75,0.39
Wright,198305,6,8,0.75,2,2,1.00,11,33,0.33,6,24,0.25,35,65,0.54
Douglas,197336,10,13,0.77,8,20,0.40,22,45,0.49,28,96,0.29,19,51,0.37
Doll,190545,1,1,1.00,24,41,0.59,3,7,0.43,4,7,0.57,5,11,0.45
Hudson,185553,2,4,0.50,8,11,0.73,7,18,0.39,20,46,0.43,11,20,0.55
Colonna,211546,1,3,0.33,46,94,0.49,20,46,0.43,3,6,0.50,7,16,0.44
Stinson,184489,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Lyman,188468,3,7,0.43,21,33,0.64,18,34,0.53,20,70,0.29,4,10,0.40
Forte,179164,0,1,0.00,146,300,0.49,17,30,0.57,0,0,0.00,5,23,0.22
Schiller,182487,2,2,1.00,272,439,0.62,8,12,0.67,16,33,0.48,3,7,0.43
Howard,183976,82,119,0.69,21,45,0.47,51,122,0.42,122,291,0.42,205,361,0.57
Kristiansen,199914,27,32,0.84,8,14,0.57,17,48,0.35,52,150,0.35,18,49,0.37
Russell,209226,5,5,1.00,3,7,0.43,7,15,0.47,14,36,0.39,2,5,0.40
Carter,179043,21,32,0.66,58,101,0.57,44,88,0.50,49,139,0.35,60,105,0.57
Pope,182225,1,1,1.00,135,259,0.52,19,33,0.58,14,31,0.45,9,23,0.39
Seaton,180435,3,4,0.75,273,445,0.61,6,15,0.40,1,1,1.00,4,13,0.31
Link,183011,73,113,0.65,25,61,0.41,67,138,0.49,98,244,0.40,211,421,0.50
Ross,192324,38,54,0.70,13,22,0.59,45,102,0.44,48,115,0.42,103,228,0.45
Grisson,188875,19,22,0.86,10,21,0.48,24,59,0.41,54,161,0.34,9,31,0.29
Franz,182763,0,0,0.00,115,214,0.54,11,24,0.46,0,0,0.00,6,15,0.40
Braun,182476,0,0,0.00,13,22,0.59,1,5,0.20,1,7,0.14,0,3,0.00
McKay,178953,1,1,1.00,7,12,0.58,3,7,0.43,2,13,0.15,5,12,0.42
Padgett,190316,1,1,1.00,0,0,0.00,1,2,0.50,2,8,0.25,0,0,0.00
Markham,190547,1,3,0.33,1,3,0.33,7,18,0.39,3,12,0.25,9,24,0.38
Ferretti,187648,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Greer,180056,9,9,1.00,76,127,0.60,73,151,0.48,87,212,0.41,9,32,0.28
Okada,182735,8,9,0.89,178,318,0.56,28,72,0.39,15,37,0.41,36,73,0.49
Haugen,184139,1,2,0.50,236,372,0.63,23,51,0.45,15,41,0.37,8,13,0.62
Fletcher,181551,29,39,0.74,10,20,0.50,40,90,0.44,2,5,0.40,92,163,0.56
George,184551,88,115,0.77,20,39,0.51,78,190,0.41,130,311,0.42,305,601,0.51
Luca,184999,36,46,0.78,25,44,0.57,38,74,0.51,53,136,0.39,31,74,0.42
Kane,200743,2,2,1.00,0,0,0.00,0,1,0.00,0,2,0.00,0,0,0.00
Moody,193364,10,10,1.00,3,10,0.30,4,13,0.31,5,22,0.23,1,1,1.00
Warren,192856,0,0,0.00,10,18,0.56,1,2,0.50,1,1,1.00,0,1,0.00
Snodgrass,178785,1,1,1.00,69,135,0.51,10,25,0.40,7,27,0.26,1,5,0.20
Gillespie,182274,15,19,0.79,63,107,0.59,42,88,0.48,91,284,0.32,40,75,0.53
Hardy,181225,5,7,0.71,98,179,0.55,7,15,0.47,13,44,0.30,35,74,0.47
Hubbard,186754,0,0,0.00,240,368,0.65,10,18,0.56,0,1,0.00,1,6,0.17
Kirby,180153,54,72,0.75,31,62,0.50,70,153,0.46,102,325,0.31,117,219,0.53
Clifford,178516,66,92,0.72,28,40,0.70,68,140,0.49,54,139,0.39,212,425,0.50
Hampton,198984,0,0,0.00,54,82,0.66,4,13,0.31,3,11,0.27,0,4,0.00
Duarte,195426,2,2,1.00,8,13,0.62,3,6,0.50,11,39,0.28,4,10,0.40
Payne,188743,0,0,0.00,51,104,0.49,2,3,0.67,2,3,0.67,4,7,0.57
Moser,179316,15,19,0.79,12,18,0.67,14,36,0.39,13,47,0.28,43,87,0.49
Hawkins,199722,6,7,0.86,1,6,0.17,5,13,0.38,10,32,0.31,3,4,0.75
Flynn,192823,0,0,0.00,1,2,0.50,0,1,0.00,1,2,0.50,0,0,0.00
Porter,186722,18,23,0.78,48,91,0.53,52,117,0.44,53,147,0.36,72,154,0.47
Toler,186297,13,24,0.54,119,222,0.54,18,40,0.45,19,38,0.50,63,120,0.53
Feldman,190037,1,4,0.25,192,311,0.62,14,25,0.56,6,20,0.30,24,45,0.53
Weiss,185895,62,79,0.78,22,38,0.58,54,121,0.45,84,210,0.40,161,325,0.50
Fraley,189203,52,81,0.64,15,31,0.48,64,161,0.40,57,148,0.39,222,467,0.48
Asher,190603,1,1,1.00,13,25,0.52,10,20,0.50,20,43,0.47,4,12,0.33
Summers,188795,16,19,0.84,3,6,0.50,18,46,0.39,18,49,0.37,38,89,0.43
Kohl,188387,21,22,0.95,5,12,0.42,16,38,0.42,25,59,0.42,34,78,0.44
Barnett,187628,0,0,0.00,83,137,0.61,3,8,0.38,9,16,0.56,6,11,0.55
Gooch,187197,8,8,1.00,63,108,0.58,12,24,0.50,7,16,0.44,13,35,0.37
Barlow,199032,0,0,0.00,0,0,0.00,1,1,1.00,1,1,1.00,0,0,0.00
Greco,194051,0,0,0.00,3,7,0.43,1,1,1.00,1,1,1.00,0,0,0.00
Slater,186619,23,29,0.79,41,86,0.48,23,59,0.39,44,117,0.38,80,159,0.50
Cone,180805,2,4,0.50,181,309,0.59,27,57,0.47,29,66,0.44,11,15,0.73
Bernard,205166,1,1,1.00,212,350,0.61,2,7,0.29,0,2,0.00,3,12,0.25
Rossetti,182816,30,34,0.88,25,40,0.62,36,98,0.37,157,402,0.39,18,33,0.55
Freed,187461,6,7,0.86,165,343,0.48,34,88,0.39,37,86,0.43,13,33,0.39
Livingston,184153,30,39,0.77,82,148,0.55,49,133,0.37,1,6,0.17,58,115,0.50
Mariani,192538,3,4,0.75,120,180,0.67,25,64,0.39,3,8,0.38,11,19,0.58
Gardner,191236,7,12,0.58,28,51,0.55,24,51,0.47,37,99,0.37,11,23,0.48
McHenry,182826,35,50,0.70,18,36,0.50,45,85,0.53,31,90,0.34,117,229,0.51
Coughlin,195359,0,0,0.00,14,27,0.52,6,22,0.27,13,44,0.30,1,6,0.17
Saunders,186920,13,21,0.62,89,191,0.47,42,97,0.43,58,175,0.33,70,124,0.56
Ziegler,181664,10,12,0.83,19,44,0.43,7,20,0.35,15,44,0.34,12,32,0.38
Gamberini,199627,19,28,0.68,13,27,0.48,36,81,0.44,73,180,0.41,35,88,0.40
Griffin,196221,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00
Kidd,193142,0,0,0.00,4,6,0.67,1,2,0.50,1,1,1.00,0,0,0.00
House,194182,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Broderick,199372,1,3,0.33,0,0,0.00,0,1,0.00,0,3,0.00,7,10,0.70
Fischer,191544,5,5,1.00,182,282,0.65,47,117,0.40,10,25,0.40,15,29,0.52
Powell,189727,1,2,0.50,159,286,0.56,15,40,0.38,9,29,0.31,4,11,0.36
George,190092,4,4,1.00,91,158,0.58,21,48,0.44,6,32,0.19,14,26,0.54
Velasco,188265,44,58,0.76,33,65,0.51,68,135,0.50,119,362,0.33,43,92,0.47
Magnum,191706,54,94,0.57,8,18,0.44,68,156,0.44,33,110,0.30,272,569,0.48
Grier,190476,15,21,0.71,12,21,0.57,18,43,0.42,55,155,0.35,7,22,0.32
Mackay,190412,1,1,1.00,48,73,0.66,1,3,0.33,2,3,0.67,1,8,0.12
Ott,190248,2,2,1.00,1,1,1.00,2,4,0.50,3,8,0.38,1,2,0.50
Ham,189828,3,6,0.50,45,104,0.43,27,71,0.38,30,95,0.32,8,19,0.42
Schroeder,184975,1,1,1.00,1,3,0.33,1,4,0.25,1,5,0.20,1,2,0.50
Fontana,187992,0,0,0.00,0,3,0.00,3,5,0.60,0,0,0.00,0,1,0.00
Townsend,187790,0,1,0.00,1,3,0.33,2,2,1.00,3,5,0.60,1,2,0.50
Zeller,197181,0,0,0.00,0,0,0.00,1,1,1.00,0,4,0.00,1,2,0.50
Bianco,193300,11,13,0.85,71,110,0.65,57,122,0.47,117,305,0.38,9,16,0.56
Keene,200146,0,0,0.00,151,227,0.67,9,14,0.64,0,0,0.00,0,5,0.00
Foss,184105,3,4,0.75,178,301,0.59,2,5,0.40,0,0,0.00,10,16,0.62
Snider,179966,56,72,0.78,41,66,0.62,55,133,0.41,94,276,0.34,144,293,0.49
Huffman,185195,89,122,0.73,20,32,0.62,71,168,0.42,114,292,0.39,319,628,0.51
Wray,191485,0,0,0.00,129,224,0.58,11,19,0.58,1,3,0.33,2,6,0.33
Blakely,186743,5,7,0.71,26,45,0.58,24,48,0.50,36,113,0.32,10,22,0.45
Matthews,186270,2,3,0.67,0,0,0.00,2,6,0.33,0,3,0.00,4,11,0.36
Richardson,201019,20,26,0.77,14,32,0.44,26,63,0.41,84,225,0.37,21,38,0.55
Cook,196012,0,1,0.00,8,10,0.80,1,1,1.00,0,1,0.00,2,6,0.33
Jacoby,188580,0,0,0.00,1,3,0.33,0,1,0.00,1,3,0.33,1,1,1.00
Isales,183253,7,8,0.88,40,73,0.55,27,57,0.47,79,189,0.42,21,44,0.48
Beckham,181595,11,14,0.79,102,212,0.48,49,90,0.54,93,211,0.44,43,83,0.52
Clinton,188303,3,5,0.60,173,269,0.64,2,5,0.40,6,15,0.40,15,35,0.43
Lopez,179616,41,46,0.89,44,70,0.63,32,90,0.36,65,161,0.40,63,131,0.48
Lester,180414,57,76,0.75,30,47,0.64,66,142,0.46,112,276,0.41,183,396,0.46
Seymour,195041,3,5,0.60,24,56,0.43,21,39,0.54,28,75,0.37,9,28,0.32
Fiori,194977,49,75,0.65,25,49,0.51,43,102,0.42,54,179,0.30,116,217,0.53
Doss,191773,0,1,0.00,5,11,0.45,5,8,0.62,3,14,0.21,4,9,0.44
Barbosa,197360,0,0,0.00,6,16,0.38,1,3,0.33,1,1,1.00,0,1,0.00
Pritchard,198108,4,5,0.80,1,2,0.50,3,8,0.38,3,7,0.43,4,12,0.33
Bartley,190830,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Jenkins,196226,4,6,0.67,21,46,0.46,27,71,0.38,39,128,0.30,6,15,0.40
Kelly,193257,4,6,0.67,128,267,0.48,15,47,0.32,16,45,0.36,13,25,0.52
Day,186478,0,2,0.00,49,84,0.58,4,6,0.67,0,2,0.00,5,12,0.42
Brubaker,190329,42,75,0.56,30,51,0.59,70,178,0.39,65,159,0.41,212,417,0.51
Martinez,185942,27,36,0.75,8,18,0.44,39,108,0.36,31,102,0.30,58,127,0.46
Stinson,184124,18,24,0.75,6,14,0.43,8,40,0.20,9,30,0.30,78,146,0.53
Wynne,193462,7,9,0.78,10,18,0.56,16,33,0.48,13,56,0.23,8,17,0.47
Cole,193147,0,1,0.00,10,20,0.50,15,25,0.60,9,30,0.30,4,6,0.67
Wagoner,188496,2,3,0.67,35,82,0.43,8,18,0.44,9,27,0.33,5,11,0.45
Corral,188071,1,2,0.50,129,261,0.49,9,28,0.32,4,16,0.25,3,17,0.18
Ford,189011,3,3,1.00,1,1,1.00,1,2,0.50,0,3,0.00,1,5,0.20
Anglin,194280,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00
Pinto,200921,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00
Rasmussen,189596,12,14,0.86,31,68,0.46,25,59,0.42,39,98,0.40,30,73,0.41
Copeland,196000,8,10,0.80,21,50,0.42,43,98,0.44,65,193,0.34,19,33,0.58
Satterfield,183912,2,4,0.50,212,340,0.62,22,46,0.48,6,26,0.23,11,15,0.73
Langston,183872,20,35,0.57,10,16,0.62,14,41,0.34,35,145,0.24,11,29,0.38
Heaton,187811,29,37,0.78,14,26,0.54,37,75,0.49,52,163,0.32,36,88,0.41
Robertson,185045,2,4,0.50,61,112,0.54,4,9,0.44,0,1,0.00,12,33,0.36
Sam,199863,0,0,0.00,4,4,1.00,0,1,0.00,0,2,0.00,0,1,0.00
Cain,198672,5,8,0.62,34,66,0.52,28,59,0.47,27,111,0.24,12,27,0.44
Adams,196832,0,0,0.00,1,1,1.00,0,0,0.00,1,2,0.50,0,1,0.00
Flaherty,189371,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Workman,197110,7,9,0.78,2,6,0.33,7,13,0.54,13,32,0.41,8,18,0.44
Rosen,185096,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Stover,185550,19,26,0.73,111,187,0.59,37,73,0.51,28,85,0.33,43,88,0.49
Sweat,183302,2,3,0.67,53,90,0.59,8,13,0.62,2,8,0.25,9,20,0.45
Aldrich,190955,2,2,1.00,181,265,0.68,10,20,0.50,5,21,0.24,4,10,0.40
Butao,196850,36,45,0.80,26,37,0.70,34,79,0.43,31,89,0.35,60,140,0.43
Oviedo,186411,61,85,0.72,23,33,0.70,65,136,0.48,67,201,0.33,199,388,0.51
Forster,191303,4,5,0.80,96,123,0.78,27,54,0.50,49,123,0.40,4,7,0.57
Mantovani,189083,2,2,1.00,109,167,0.65,23,49,0.47,31,91,0.34,9,13,0.69
Woods,194030,0,0,0.00,210,354,0.59,9,15,0.60,9,36,0.25,3,9,0.33
Agostini,183756,78,121,0.64,35,67,0.52,84,190,0.44,151,357,0.42,221,440,0.50
Naruse,189661,45,64,0.70,21,38,0.55,54,113,0.48,51,155,0.33,151,326,0.46
Tolbert,196035,0,0,0.00,26,45,0.58,3,5,0.60,0,3,0.00,1,3,0.33
Kennedy,194404,2,2,1.00,8,17,0.47,15,29,0.52,17,57,0.30,5,18,0.28
Mills,189367,1,2,0.50,46,91,0.51,17,34,0.50,7,13,0.54,4,10,0.40
Braxton,188751,45,77,0.58,11,22,0.50,36,97,0.37,60,175,0.34,150,289,0.52
Fulton,182524,0,0,0.00,0,3,0.00,0,2,0.00,0,2,0.00,0,0,0.00
Doyle,198600,1,3,0.33,1,1,1.00,1,2,0.50,1,5,0.20,1,1,1.00
Lackey,183584,1,1,1.00,0,0,0.00,0,1,0.00,0,1,0.00,1,1,1.00
Alba,197200,0,0,0.00,0,3,0.00,0,1,0.00,0,2,0.00,0,1,0.00
Stroud,185607,5,7,0.71,75,139,0.54,53,122,0.43,7,18,0.39,4,14,0.29
Russo,199683,1,3,0.33,149,300,0.50,27,44,0.61,8,9,0.89,7,16,0.44
Garza,192080,3,4,0.75,153,301,0.51,8,24,0.33,2,5,0.40,5,9,0.56
Pellegrini,191281,28,39,0.72,20,37,0.54,50,115,0.43,32,97,0.33,42,103,0.41
Schuster,183275,26,33,0.79,8,19,0.42,70,159,0.44,4,11,0.36,52,100,0.52
James,192352,4,5,0.80,4,5,0.80,13,37,0.35,2,10,0.20,7,17,0.41
Jordan,189577,0,0,0.00,52,111,0.47,9,21,0.43,1,4,0.25,1,6,0.17
Paxton,187529,7,10,0.70,12,24,0.50,17,45,0.38,6,12,0.50,5,8,0.62
