Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Bailey,192314,5,6,0.83,116,202,0.57,82,191,0.43,6,12,0.50,8,21,0.38
Parks,189135,0,1,0.00,255,454,0.56,26,70,0.37,0,3,0.00,6,15,0.40
Hammond,187090,1,4,0.25,258,479,0.54,10,19,0.53,0,1,0.00,9,26,0.35
Blackburn,180158,27,35,0.77,17,30,0.57,35,73,0.48,83,192,0.43,22,43,0.51
Rider,191345,26,43,0.60,5,9,0.56,52,141,0.37,5,16,0.31,90,203,0.44
Carter,197186,8,13,0.62,9,13,0.69,16,33,0.48,14,41,0.34,13,31,0.42
Cox,196338,1,3,0.33,1,2,0.50,2,7,0.29,3,11,0.27,5,13,0.38
Montano,189443,0,0,0.00,0,1,0.00,0,1,0.00,0,1,0.00,0,0,0.00
Stanton,213950,0,1,0.00,2,5,0.40,1,1,1.00,0,2,0.00,2,3,0.67
Tekin,209670,0,1,0.00,60,104,0.58,16,33,0.48,1,3,0.33,4,14,0.29
Basile,196505,7,9,0.78,6,8,0.75,8,16,0.50,14,29,0.48,5,8,0.62
Brown,185259,33,48,0.69,2,3,0.67,22,70,0.31,15,38,0.39,147,293,0.50
D`Ignoti,186108,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,1,1,1.00
Harper,187980,1,4,0.25,82,141,0.58,18,32,0.56,13,42,0.31,13,28,0.46
Bechtel,188388,8,10,0.80,95,172,0.55,25,50,0.50,17,42,0.40,37,73,0.51
Barker,193376,0,0,0.00,120,205,0.59,10,18,0.56,5,10,0.50,2,6,0.33
Dexter,185515,27,34,0.79,67,126,0.53,78,165,0.47,100,268,0.37,77,166,0.46
Kaplan,186512,87,117,0.74,38,56,0.68,88,205,0.43,112,297,0.38,310,624,0.50
Loua,212346,0,0,0.00,21,33,0.64,1,1,1.00,3,4,0.75,1,1,1.00
Gentry,194044,12,14,0.86,3,9,0.33,16,28,0.57,16,50,0.32,32,68,0.47
Street,193973,0,0,0.00,4,8,0.50,5,9,0.56,0,9,0.00,1,4,0.25
Caldwell,193428,10,12,0.83,14,26,0.54,22,59,0.37,47,119,0.39,12,25,0.48
Parker,193072,1,1,1.00,4,8,0.50,1,3,0.33,11,21,0.52,1,3,0.33
Flanagan,188719,1,1,1.00,17,31,0.55,0,1,0.00,0,0,0.00,3,4,0.75
Bauer,190272,19,24,0.79,20,39,0.51,24,58,0.41,44,150,0.29,4,22,0.18
Borden,188067,0,0,0.00,1,2,0.50,0,0,0.00,0,0,0.00,0,0,0.00
Teague,199663,0,0,0.00,1,2,0.50,0,0,0.00,0,0,0.00,0,0,0.00
West,181427,9,15,0.60,64,114,0.56,23,50,0.46,70,196,0.36,24,52,0.46
Tarver,183209,0,0,0.00,155,285,0.54,4,27,0.15,7,31,0.23,4,8,0.50
Adams,179800,3,5,0.60,204,318,0.64,28,60,0.47,9,19,0.47,11,27,0.41
Wade,185604,23,31,0.74,9,17,0.53,46,102,0.45,89,234,0.38,58,118,0.49
Spurlock,190065,19,29,0.66,19,33,0.58,34,81,0.42,54,158,0.34,35,83,0.42
Skidmore,195536,1,2,0.50,0,1,0.00,2,4,0.50,5,15,0.33,1,2,0.50
Bailey,191741,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Temple,190152,9,10,0.90,14,24,0.58,8,31,0.26,21,85,0.25,19,28,0.68
Binder,189200,0,1,0.00,107,182,0.59,11,31,0.35,1,3,0.33,4,7,0.57
Allen,185503,3,4,0.75,18,40,0.45,12,26,0.46,9,38,0.24,6,18,0.33
Foster,195389,25,32,0.78,20,31,0.65,25,61,0.41,36,111,0.32,38,76,0.50
Guy,191079,0,0,0.00,17,26,0.65,3,5,0.60,1,1,1.00,0,0,0.00
Porter,196932,0,0,0.00,14,23,0.61,2,2,1.00,0,0,0.00,0,0,0.00
Strong,196862,0,0,0.00,4,11,0.36,1,3,0.33,0,2,0.00,0,2,0.00
Benner,194419,5,9,0.56,50,105,0.48,54,114,0.47,66,204,0.32,14,33,0.42
Weston,193097,1,1,1.00,148,260,0.57,23,39,0.59,11,28,0.39,2,7,0.29
Rizzo,183809,6,8,0.75,229,331,0.69,19,30,0.63,9,20,0.45,33,74,0.45
Hunter,195732,20,24,0.83,22,49,0.45,45,108,0.42,72,213,0.34,18,32,0.56
Cable,186080,77,104,0.74,18,24,0.75,49,148,0.33,50,129,0.39,307,632,0.49
Hines,197335,1,1,1.00,19,35,0.54,6,6,1.00,3,10,0.30,1,3,0.33
Dalton,187712,8,13,0.62,94,194,0.48,7,28,0.25,5,20,0.25,44,84,0.52
Gallo,186867,9,10,0.90,3,9,0.33,10,29,0.34,7,23,0.30,7,26,0.27
Piras,185276,33,47,0.70,23,31,0.74,29,61,0.48,31,86,0.36,89,169,0.53
Brockman,200648,6,7,0.86,4,8,0.50,3,18,0.17,5,22,0.23,6,14,0.43
Owens,198668,0,0,0.00,0,0,0.00,1,2,0.50,1,6,0.17,0,0,0.00
Campos,186884,1,1,1.00,2,2,1.00,2,2,1.00,0,0,0.00,0,0,0.00
Graham,197197,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Smiley,184035,16,23,0.70,85,132,0.64,88,197,0.45,89,246,0.36,78,166,0.47
Nye,178589,2,5,0.40,74,125,0.59,53,120,0.44,57,158,0.36,13,33,0.39
Lorenzo,198530,0,1,0.00,237,388,0.61,10,14,0.71,0,0,0.00,4,8,0.50
Miller,192817,62,79,0.78,45,73,0.62,58,122,0.48,105,268,0.39,39,91,0.43
Gelashvili,192226,31,37,0.84,20,32,0.62,34,64,0.53,87,214,0.41,70,133,0.53
Martinez,188019,4,6,0.67,10,33,0.30,17,33,0.52,28,71,0.39,3,8,0.38
Babb,187989,42,47,0.89,17,36,0.47,35,77,0.45,82,230,0.36,33,69,0.48
Berg,203330,0,0,0.00,1,4,0.25,1,4,0.25,0,0,0.00,0,0,0.00
McKenna,208170,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Smith,201012,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Reid,191234,1,1,1.00,24,40,0.60,4,8,0.50,2,2,1.00,5,8,0.62
Gaskins,185132,0,0,0.00,30,62,0.48,45,99,0.45,71,208,0.34,4,9,0.44
Harris,188981,1,3,0.33,102,163,0.63,41,94,0.44,51,154,0.33,8,22,0.36
Knepper,181278,1,1,1.00,163,302,0.54,22,58,0.38,4,18,0.22,4,11,0.36
Chavez,195037,15,19,0.79,36,62,0.58,61,114,0.54,124,397,0.31,22,42,0.52
Williamson,187608,10,13,0.77,25,40,0.62,30,63,0.48,101,277,0.36,38,87,0.44
Taylor,183806,8,12,0.67,18,28,0.64,17,37,0.46,28,94,0.30,22,43,0.51
Fontana,191266,0,1,0.00,23,38,0.61,17,32,0.53,13,38,0.34,5,22,0.23
Maurer,191084,0,1,0.00,9,12,0.75,5,13,0.38,7,32,0.22,0,0,0.00
Bench,188284,1,5,0.20,37,68,0.54,9,15,0.60,2,9,0.22,15,30,0.50
Pellegrino,187515,13,27,0.48,2,6,0.33,25,43,0.58,9,16,0.56,90,180,0.50
Turner,192227,1,1,1.00,1,1,1.00,1,2,0.50,1,1,1.00,3,5,0.60
Cortez,191212,0,1,0.00,5,18,0.28,7,14,0.50,13,25,0.52,3,11,0.27
Yancey,192510,1,1,1.00,4,8,0.50,0,2,0.00,0,5,0.00,0,0,0.00
Graves,190142,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Blair,190905,0,3,0.00,45,76,0.59,20,51,0.39,31,92,0.34,7,14,0.50
Murphay,185060,3,5,0.60,142,243,0.58,24,42,0.57,27,87,0.31,6,15,0.40
Price,182608,4,5,0.80,250,337,0.74,33,64,0.52,4,21,0.19,9,16,0.56
Ross,192007,16,25,0.64,55,93,0.59,43,106,0.41,3,7,0.43,7,10,0.70
Perkins,181998,76,102,0.75,15,35,0.43,67,135,0.50,65,209,0.31,193,393,0.49
Stankevicius,200934,49,57,0.86,42,68,0.62,87,189,0.46,41,121,0.34,97,205,0.47
Franco,196095,4,5,0.80,52,96,0.54,15,23,0.65,21,45,0.47,12,26,0.46
Adkins,192592,1,3,0.33,78,141,0.55,4,14,0.29,3,8,0.38,4,9,0.44
Crowder,198550,3,3,1.00,0,3,0.00,4,10,0.40,0,2,0.00,5,10,0.50
Tucker,198403,0,0,0.00,9,18,0.50,0,1,0.00,0,3,0.00,0,0,0.00
Ueda,191660,0,0,0.00,1,2,0.50,0,0,0.00,1,2,0.50,1,1,1.00
Munoz,194241,5,7,0.71,126,235,0.54,21,51,0.41,43,108,0.40,10,29,0.34
Conklin,181651,2,4,0.50,222,379,0.59,33,53,0.62,11,24,0.46,12,21,0.57
Snyder,188680,3,4,0.75,202,350,0.58,7,19,0.37,2,4,0.50,7,15,0.47
Bergstrom,196152,30,35,0.86,14,23,0.61,40,87,0.46,62,178,0.35,29,68,0.43
Adams,178587,63,103,0.61,6,9,0.67,52,140,0.37,36,111,0.32,235,501,0.47
Bos,206394,0,2,0.00,17,32,0.53,1,7,0.14,3,9,0.33,5,5,1.00
McNamara,197134,1,2,0.50,1,1,1.00,0,1,0.00,0,3,0.00,5,7,0.71
Lankford,194565,2,2,1.00,46,71,0.65,21,48,0.44,25,72,0.35,0,9,0.00
Morrison,193150,0,0,0.00,1,2,0.50,0,0,0.00,0,1,0.00,0,0,0.00
Petry,189773,10,18,0.56,23,42,0.55,25,61,0.41,53,161,0.33,35,67,0.52
